"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Hyaluronan Metabolism","8","3","3","0.92453","0.0053351","0.041098",NA,"0","0","0.4588186","1",NA,"P1","EC000111;EC000149;EC000150;EC000177"
"Mono-unsaturated fatty acid beta-oxidation","19","4","3","0.5283","0.0062968","0.072813",NA,"0","0","0.535228","1",NA,"P2","EC0001101;EC0001149;EC00011"
"CoA Catabolism","7","3","2","0.92453","0.041808","0.20068",NA,"2","0.02","1","1",NA,"P3","EC00011;EC000477;EC000478"
"Carnitine shuttle","72","27","11","3.6981","0.042821","0.10839",NA,"4","0.04","1","1",NA,"P4","EC0001272;EC0001273;EC0001282;EC0001277;EC000244;EC0001267;EC0001287"
"Linoleate metabolism","46","28","12","7.7925","0.043256","0.085112",NA,"14","0.14","1","1",NA,"P5","EC000801;EC0001018;EC0001019;EC0001198;EC0001199;EC0001070;EC0001062;EC0001065;EC0001066;EC000149;EC000150;EC000602"
"Ubiquinone Biosynthesis","10","5","4","1.5849","0.046448","0.16563",NA,"2","0.02","1","1",NA,"P6","EC00012;EC00011;EC000556;EC000140"
"Vitamin B5 - CoA biosynthesis from pantothenate","12","4","2","1.0566","0.061088","0.24755",NA,"3","0.03","1","1",NA,"P7","EC00011;EC000477;EC000478"
"Proteoglycan biosynthesis","27","3","1","0.5283","0.073688","0.40043",NA,"3","0.03","1","1",NA,"P8","EC000149;EC000150"
"Porphyrin metabolism","43","11","4","3.434","0.082915","0.19261",NA,"0","0","1","1",NA,"P9","EC000307;EC000311;EC000177;EC000494;EC000149;EC000150"
"Starch and Sucrose Metabolism","33","14","2","1.9811","0.09626","0.26449",NA,"3","0.03","1","1",NA,"P10","EC000444;EC000446;EC000149;EC000150"
"Nucleotide Sugar Metabolism","7","4","1","0.66038","0.11325","0.47255",NA,"0","0","1","1",NA,"P11","EC000149;EC000150"
"Vitamin A (retinol) metabolism","67","17","3","2.1132","0.11681","0.29907",NA,"6","0.06","1","1",NA,"P12","EC000149;EC000150;EC00011;EC000289"
"Dynorphin metabolism","8","1","1","0.13208","0.12069","1",NA,"0","0","1","1",NA,"P13","EC0001213"
"Vitamin B12 (cyanocobalamin) metabolism","9","1","1","0.13208","0.12069","1",NA,"0","0","1","1",NA,"P14","EC00012"
"Pentose and Glucuronate Interconversions","15","12","3","1.4528","0.13761","0.38723",NA,"5","0.05","1","1",NA,"P15","EC000149;EC000150;EC000177"
"Lysine metabolism","52","19","8","6.6038","0.1384","0.24281",NA,"25","0.25","1","1",NA,"P16","EC00015;EC00012;EC00011;EC000244;EC000509;EC000510;EC000284;EC000196;EC000763"
"Tyrosine metabolism","160","79","29","23.377","0.15189","0.20477",NA,"54","0.54","1","1",NA,"P17","EC00012;EC00011;EC0001234;EC000556;EC000458;EC000459;EC00015;EC000411;EC000537;EC000779;EC000239;EC00063;EC000973;EC00066;EC00068;EC000661;EC000149;EC000150;EC000862;EC000865;EC0001028;EC000897;EC000647;EC000893;EC0001160;EC0001119"
"Di-unsaturated fatty acid beta-oxidation","26","3","2","0.79245","0.15678","0.53604",NA,"1","0.01","1","1",NA,"P18","EC00011;EC0001149"
"Saturated fatty acids beta-oxidation","36","3","2","0.79245","0.15678","0.53604",NA,"5","0.05","1","1",NA,"P19","EC000828;EC000244"
"Alkaloid biosynthesis II","10","6","2","1.5849","0.168","0.43155",NA,"23","0.23","1","1",NA,"P20","EC00011;EC0001052;EC0001053"
"Omega-3 fatty acid metabolism","39","7","3","1.717","0.20011","0.47412",NA,"6","0.06","1","1",NA,"P21","EC00011;EC0001100;EC0001101"
"Urea cycle/amino group metabolism","85","36","12","13.34","0.22628","0.31897",NA,"32","0.32","1","1",NA,"P22","EC00015;EC00012;EC000463;EC000464;EC00042;EC000736;EC000313;EC000661;EC000307;EC000311;EC000458;EC000459;EC000239;EC000284;EC0001279"
"1- and 2-Methylnaphthalene degradation","4","4","2","0.26415","0.2269","1",NA,"3","0.03","1","1",NA,"P23","EC000701"
"Xenobiotics metabolism","110","28","5","5.5472","0.23585","0.39027",NA,"12","0.12","1","1",NA,"P24","EC0005;EC000481;EC000149;EC000150;EC0001035;EC000679;EC000680"
"Vitamin B3 (nicotinate and nicotinamide) metabolism","28","16","6","3.6981","0.24245","0.43782",NA,"21","0.21","1","1",NA,"P25","EC00015;EC00012;EC00011;EC00042;EC000940"
"Arginine and Proline Metabolism","45","24","11","8.717","0.26641","0.39359",NA,"18","0.18","1","1",NA,"P26","EC00015;EC00042;EC000736;EC000549;EC000625;EC000307;EC000311;EC000685;EC000687;EC000284"
"Biopterin metabolism","22","7","2","1.9811","0.26784","0.55323",NA,"43","0.43","1","1",NA,"P27","EC00063;EC00066;EC00068"
"Androgen and estrogen biosynthesis and metabolism","95","13","2","1.9811","0.26784","0.55323",NA,"28","0.28","1","1",NA,"P28","EC00012;EC000149;EC000150"
"Fatty Acid Metabolism","63","9","3","3.1698","0.32723","0.56377",NA,"36","0.36","1","1",NA,"P29","EC000244;EC000679;EC000680;EC000588"
