"","m.z","p.value","mode","r.t"
"1",85.0284,0.278614918595479,"positive",158.2
"2",85.1747,0.300980348896857,"positive",61
"3",85.2862,0.0826133484321824,"positive",60.8
"4",85.3987,0.251253806417245,"positive",62
"5",85.5101,0.319650669566946,"positive",61.5
"6",85.6499,0.338990400899909,"positive",171
"7",85.963,0.486081398451884,"positive",214.7
"8",86.0318,0.471423557536137,"positive",129.9
"9",86.0503,0.461967797808279,"positive",274.6
"10",86.06,0.643022160537605,"positive",22.8
"11",86.06,0.911572932801723,"positive",291.2
"12",86.0713,0.40894516546212,"positive",128.4
"13",86.0964,0.660674692961739,"positive",108.5
"14",86.0965,0.856960822365155,"positive",156.3
"15",86.7279,0.42303137231696,"positive",63.4
"16",86.8393,0.263177320849585,"positive",63.6
"17",86.9519,0.233422751873362,"positive",62.6
"18",86.9927,0.281312140568484,"positive",206.6
"19",87.0441,0.660923159424825,"positive",137.5
"20",87.0441,0.154919371477503,"positive",73.3
"21",87.0634,0.383098487516784,"positive",62.8
"22",87.0909,0.857450278283722,"positive",119.5
"23",87.0998,0.159180303902289,"positive",107.4
"24",87.0998,0.68502402898728,"positive",156.4
"25",87.1755,0.727409709426101,"positive",63.5
"26",87.2874,0.665153841039749,"positive",64
"27",87.3998,0.850313315319778,"positive",63.7
"28",87.5113,0.74438079171367,"positive",64
"29",87.6231,0.679961806506144,"positive",63.8
"30",88.0216,0.671685591366932,"positive",105.5
"31",88.0393,0.819800221454495,"positive",190
"32",88.0578,0.159231766823682,"positive",265.5
"33",88.0578,0.0746841828307613,"positive",184.4
"34",88.0639,0.940845765774238,"positive",154
"35",88.0651,0.551205472073596,"positive",60.9
"36",88.0659,0.00568993015311511,"positive",271.1
"37",88.0757,0.46761597217116,"positive",137.1
"38",88.1121,0.606581374891184,"positive",18.3
"39",88.1121,0.346251527761416,"positive",145
"40",88.1766,0.939170518907083,"positive",60.7
"41",88.2893,0.249681470184622,"positive",61
"42",88.4008,0.0171295953031631,"positive",60.6
"43",88.5131,0.312267256515147,"positive",60.7
"44",88.8208,0.611815570430479,"positive",49
"45",88.9526,0.531966099548446,"positive",214.4
"46",89.0249,0.863083733587626,"positive",165.4
"47",89.0418,0.389391476997635,"positive",268.6
"48",89.0418,0.779023180198136,"positive",196.4
"49",89.0597,0.478359820044419,"positive",70
"50",89.071,0.448540269717116,"positive",141.9
"51",89.079,0.969454453169377,"positive",17.1
"52",89.079,0.0679422129784272,"positive",188.6
"53",89.0791,0.358883714709697,"positive",137.6
"54",89.5067,0.614451415714059,"positive",293
"55",89.6186,0.150765283441067,"positive",61.9
"56",89.7301,0.318602304175517,"positive",62.1
"57",89.8425,0.309169843820098,"positive",61.8
"58",89.9537,0.327282793533473,"positive",62.3
"59",90.0212,0.475177628212995,"positive",30.1
"60",90.0372,0.75658456135402,"positive",89.2
"61",90.055,0.528578961913482,"positive",178.9
"62",90.0607,0.984778874745742,"positive",154.1
"63",90.0631,0.475257887593515,"positive",71.3
"64",90.0664,0.127696957157814,"positive",61.3
"65",90.0735,0.145112055172879,"positive",269.7
"66",90.0914,0.493220724586758,"positive",138.7
"67",90.178,0.126096033637153,"positive",61.5
"68",90.1851,0.747605727358745,"positive",70.3
"69",90.2898,0.374479432920814,"positive",62.2
"70",90.4017,0.990912348432857,"positive",62.4
"71",90.507,0.448044941698407,"positive",14
"72",90.507,0.303067100521543,"positive",204
"73",90.5258,0.552401466974666,"positive",277.6
"74",90.5259,0.551171298602008,"positive",215.9
"75",90.7313,0.830537669507196,"positive",171.2
"76",90.9477,0.711709340463998,"positive",287.8
"77",90.9734,0.0880751737924912,"positive",171.4
"78",90.9766,0.497897758960744,"positive",170.4
"79",90.9786,0.606672090171791,"positive",171.1
"80",91.0059,0.91191936282214,"positive",205.9
"81",91.0235,0.531377455278012,"positive",93.9
"82",91.0398,0.530056308910458,"positive",163.9
"83",91.0453,0.626189121795547,"positive",122.3
"84",91.0543,0.481527054768196,"positive",159.5
"85",91.0583,0.8111470755451,"positive",179.2
"86",91.1795,0.842143215197108,"positive",60.3
"87",91.5047,0.828582554912007,"positive",203.6
"88",91.98,0.663293699492027,"positive",170.5
"89",92.0287,0.222670401955355,"positive",155
"90",92.0494,0.13085835657289,"positive",121.7
"91",92.0576,0.744666093211759,"positive",165.1
"92",92.5091,0.249525001075798,"positive",60.9
"93",92.7332,0.107981719787312,"positive",61
"94",92.8446,0.362904259331782,"positive",60.6
"95",92.9568,0.860495472370881,"positive",60.8
"96",92.9809,0.471081630017929,"positive",171.2
"97",93.0191,0.554287570965843,"positive",154.6
"98",93.0402,0.181821552951964,"positive",29.7
"99",93.0403,0.737562606862482,"positive",141.9
"100",93.0447,0.689452703617801,"positive",14.7
