"","m.z","p.value","mode","r.t"
"1",85.0284,0.0907737474411048,"positive",158.2
"2",85.1747,0.967909506258807,"positive",61
"3",85.2862,0.678035656775455,"positive",60.8
"4",85.3987,0.6859349195261,"positive",62
"5",85.5101,0.382763673654801,"positive",61.5
"6",85.6499,0.505392200276307,"positive",171
"7",85.963,0.846520962209033,"positive",214.7
"8",86.0318,0.487302485455411,"positive",129.9
"9",86.0503,0.463669648483173,"positive",274.6
"10",86.06,0.156857859854162,"positive",22.8
"11",86.06,0.9167363079022,"positive",291.2
"12",86.0713,0.0120785574685419,"positive",128.4
"13",86.0964,0.418795323286198,"positive",108.5
"14",86.0965,0.133877155657731,"positive",156.3
"15",86.7279,0.0181998724391146,"positive",63.4
"16",86.8393,0.156659203417451,"positive",63.6
"17",86.9519,0.106677021886606,"positive",62.6
"18",86.9927,0.907003388259579,"positive",206.6
"19",87.0441,0.755817089777453,"positive",137.5
"20",87.0441,0.536629144879823,"positive",73.3
"21",87.0634,0.157216570247774,"positive",62.8
"22",87.0909,0.547417695323304,"positive",119.5
"23",87.0998,0.366301358669113,"positive",107.4
"24",87.0998,0.471935246754698,"positive",156.4
"25",87.1755,0.651494568714145,"positive",63.5
"26",87.2874,0.844266425095321,"positive",64
"27",87.3998,0.834151094044189,"positive",63.7
"28",87.5113,0.835572994824619,"positive",64
"29",87.6231,0.73995325605047,"positive",63.8
"30",88.0216,0.370225969842435,"positive",105.5
"31",88.0393,0.518991572843846,"positive",190
"32",88.0578,0.0768591056066296,"positive",265.5
"33",88.0578,0.000555260424568601,"positive",184.4
"34",88.0639,0.0581095536344961,"positive",154
"35",88.0651,0.762249221650874,"positive",60.9
"36",88.0659,0.443550073875298,"positive",271.1
"37",88.0757,0.506038116953469,"positive",137.1
"38",88.1121,0.645713000139907,"positive",18.3
"39",88.1121,0.23263453150248,"positive",145
"40",88.1766,0.656812142600387,"positive",60.7
"41",88.2893,0.78741635000576,"positive",61
"42",88.4008,0.294360099818825,"positive",60.6
"43",88.5131,0.363597306302882,"positive",60.7
"44",88.8208,0.805883451696973,"positive",49
"45",88.9526,0.834103096079464,"positive",214.4
"46",89.0249,0.550525575302348,"positive",165.4
"47",89.0418,0.953906251793008,"positive",268.6
"48",89.0418,0.834745883162977,"positive",196.4
"49",89.0597,0.151357758200501,"positive",70
"50",89.071,0.290240036261841,"positive",141.9
"51",89.079,0.4149963279025,"positive",17.1
"52",89.079,0.0386968616576208,"positive",188.6
"53",89.0791,0.880889801653235,"positive",137.6
"54",89.5067,0.909578629721188,"positive",293
"55",89.6186,0.0695102325479739,"positive",61.9
"56",89.7301,0.123061701731679,"positive",62.1
"57",89.8425,0.158978449513315,"positive",61.8
"58",89.9537,0.214510162897372,"positive",62.3
"59",90.0212,0.344043504082836,"positive",30.1
"60",90.0372,0.450096880721083,"positive",89.2
"61",90.055,0.282654095195783,"positive",178.9
"62",90.0607,0.080980444767922,"positive",154.1
"63",90.0631,0.0889653820791174,"positive",71.3
"64",90.0664,0.0604155042349082,"positive",61.3
"65",90.0735,0.217708779701677,"positive",269.7
"66",90.0914,0.990881663531626,"positive",138.7
"67",90.178,0.0460747360592501,"positive",61.5
"68",90.1851,0.552138642852272,"positive",70.3
"69",90.2898,0.209381621479057,"positive",62.2
"70",90.4017,0.485326366619775,"positive",62.4
"71",90.507,0.445611048320914,"positive",14
"72",90.507,0.388766264445757,"positive",204
"73",90.5258,0.845796259011283,"positive",277.6
"74",90.5259,0.0617554174215586,"positive",215.9
"75",90.7313,0.910188080817132,"positive",171.2
"76",90.9477,0.759662143811468,"positive",287.8
"77",90.9734,0.79884509232489,"positive",171.4
"78",90.9766,0.257063971212889,"positive",170.4
"79",90.9786,0.159419179612077,"positive",171.1
"80",91.0059,0.837188704618385,"positive",205.9
"81",91.0235,0.0978577680501561,"positive",93.9
"82",91.0398,0.510565606708385,"positive",163.9
"83",91.0453,0.503943805448859,"positive",122.3
"84",91.0543,0.426185953218036,"positive",159.5
"85",91.0583,0.791008811651585,"positive",179.2
"86",91.1795,0.857004296236995,"positive",60.3
"87",91.5047,0.986924572741834,"positive",203.6
"88",91.98,0.35355345292514,"positive",170.5
"89",92.0287,0.386112061333067,"positive",155
"90",92.0494,0.971548817144666,"positive",121.7
"91",92.0576,0.907966170736152,"positive",165.1
"92",92.5091,0.948158997881181,"positive",60.9
"93",92.7332,0.0634507416584793,"positive",61
"94",92.8446,0.0359269906586025,"positive",60.6
"95",92.9568,0.121428936396061,"positive",60.8
"96",92.9809,0.167754413219825,"positive",171.2
"97",93.0191,0.434165655924196,"positive",154.6
"98",93.0402,0.0351190756464606,"positive",29.7
"99",93.0403,0.642714754424303,"positive",141.9
"100",93.0447,0.539439667293042,"positive",14.7
