"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Ubiquinone Biosynthesis","10","5","4","1.5491","0.0012311","0.008242",NA,"0","0","0.0960258","0.626392",NA,"P1","EC00012;EC000557;EC000139;EC000141;EC000146;EC000147"
"Glycerophospholipid metabolism","156","35","16","9.0361","0.0020085","0.004929",NA,"0","0","0.1546545","0.384462",NA,"P2","EC00012;EC000783;EC000560;EC000295;EC000296;EC000297;EC000795;EC000785;EC000980;EC000375;EC00025;EC000167;EC00087;EC000596;EC000598;EC0001085;EC000183"
"Linoleate metabolism","46","28","16","7.6162","0.0022886","0.0059588",NA,"0","0","0.1739336","0.4588276",NA,"P3","EC000783;EC0001170;EC000797;EC000799;EC0001014;EC0001066;EC0001058;EC0001059;EC0001060;EC0001061;EC000808;EC000980;EC000596;EC000598;EC000600"
"De novo fatty acid biosynthesis","106","17","11","4.9053","0.003006","0.0092667",NA,"0","0","0.22545","0.6950025",NA,"P4","EC000590;EC000439;EC000980;EC000603;EC000979;EC000984;EC000678;EC000715;EC000183;EC000596;EC000598"
"Fatty acid activation","74","15","10","4.5181","0.016347","0.043576",NA,"2","0.02","1","1",NA,"P5","EC000603;EC000439;EC000980;EC000979;EC000977;EC000596;EC000598;EC000590;EC000715"
"Tyrosine metabolism","160","79","29","22.59","0.026958","0.041825",NA,"23","0.23","1","1",NA,"P6","EC00012;EC0001230;EC000557;EC000458;EC000461;EC000662;EC000236;EC00059;EC00060;EC000752;EC00066;EC000659;EC000337;EC000146;EC000147;EC000863;EC0001024;EC000893;EC000375;EC000876;EC000877;EC000884;EC000383;EC000889;EC000891;EC00085;EC0001185;EC0001115;EC0001116"
"Fatty Acid Metabolism","63","9","5","3.0981","0.053866","0.14004",NA,"4","0.04","1","1",NA,"P7","EC000603;EC000678;EC000979;EC000596;EC000598;EC000590"
"Biopterin metabolism","22","7","3","1.9363","0.089925","0.25276",NA,"17","0.17","1","1",NA,"P8","EC000358;EC00059;EC00060;EC00066"
"Glycosphingolipid biosynthesis - lactoseries","14","1","1","0.12909","0.11792","1",NA,"2","0.02","1","1",NA,"P9","EC00021"
"Blood Group Biosynthesis","44","1","1","0.12909","0.11792","1",NA,"2","0.02","1","1",NA,"P10","EC00021"
"Glycosphingolipid biosynthesis - neolactoseries","16","1","1","0.12909","0.11792","1",NA,"2","0.02","1","1",NA,"P11","EC00021"
"Keratan sulfate biosynthesis","66","1","1","0.12909","0.11792","1",NA,"2","0.02","1","1",NA,"P12","EC00021"
"O-Glycan biosynthesis","16","1","1","0.12909","0.11792","1",NA,"2","0.02","1","1",NA,"P13","EC00021"
"Vitamin B12 (cyanocobalamin) metabolism","9","1","1","0.12909","0.11792","1",NA,"7","0.07","1","1",NA,"P14","EC00012"
"Drug metabolism - cytochrome P450","53","24","7","4.7762","0.13573","0.25959",NA,"19","0.19","1","1",NA,"P15","EC000996;EC0001108;EC0001124;EC0001120;EC0001122;EC0001115;EC0001116"
"Glycosphingolipid biosynthesis - ganglioseries","62","4","3","0.77453","0.15082","0.5272",NA,"10","0.1","1","1",NA,"P16","EC00025;EC00021"
"C5-Branched dibasic acid metabolism","10","3","2","0.77453","0.15082","0.5272",NA,"6","0.06","1","1",NA,"P17","EC000341;EC000343"
"Di-unsaturated fatty acid beta-oxidation","26","3","1","0.77453","0.15082","0.5272",NA,"7","0.07","1","1",NA,"P18","EC000596;EC000598"
"Omega-3 fatty acid metabolism","39","7","4","1.6781","0.1906","0.4613",NA,"8","0.08","1","1",NA,"P19","EC0001096;EC000808;EC000980"
"N-Glycan biosynthesis","48","6","4","0.90361","0.19541","0.58285",NA,"5","0.05","1","1",NA,"P20","EC00021;EC00025"
"Glycosphingolipid biosynthesis - globoseries","16","3","2","0.90361","0.19541","0.58285",NA,"13","0.13","1","1",NA,"P21","EC00021;EC00025"
"Hexose phosphorylation","20","15","6","2.5818","0.20244","0.42127",NA,"12","0.12","1","1",NA,"P22","EC00025;EC000259;EC000146;EC000147"
"Vitamin B6 (pyridoxine) metabolism","11","6","4","2.8399","0.25568","0.48593",NA,"31","0.31","1","1",NA,"P23","EC000201;EC000418;EC000236;EC000399"
"Glycine, serine, alanine and threonine metabolism","88","39","10","9.0361","0.30576","0.43724",NA,"8","0.08","1","1",NA,"P24","EC00012;EC000714;EC00042;EC000166;EC000167;EC00052;EC00054;EC000308;EC000151;EC00085"
"Pentose phosphate pathway","37","29","7","4.2599","0.34771","0.55288",NA,"9","0.09","1","1",NA,"P25","EC000640;EC00087;EC000222;EC00025;EC000430"
"Urea cycle/amino group metabolism","85","36","11","12.78","0.38205","0.49838",NA,"45","0.45","1","1",NA,"P26","EC00012;EC00042;EC000735;EC000703;EC000337;EC00052;EC00054;EC000659;EC000308;EC000458;EC000461;EC000236;EC000284"
"Selenoamino acid metabolism","35","10","3","2.4527","0.39224","0.67204",NA,"7","0.07","1","1",NA,"P27","EC00085;EC000399;EC000920"
"Proteoglycan biosynthesis","27","3","1","0.51635","0.39501","1",NA,"21","0.21","1","1",NA,"P28","EC00021"
"Omega-6 fatty acid metabolism","55","3","1","0.51635","0.39501","1",NA,"6","0.06","1","1",NA,"P29","EC000183"
"Pyruvate Metabolism","20","7","4","1.5491","0.42275","0.77731",NA,"10","0.1","1","1",NA,"P30","EC000167;EC00087"
"Squalene and cholesterol biosynthesis","55","11","2","1.5491","0.42275","0.77731",NA,"15","0.15","1","1",NA,"P31","EC000293;EC00085"
"Carnitine shuttle","72","27","6","3.6145","0.42461","0.65545",NA,"45","0.45","1","1",NA,"P32","EC0001284;EC0001143;EC0001285;EC0001262"
"Galactose metabolism","41","28","12","3.7435","0.45244","0.67949",NA,"20","0.2","1","1",NA,"P33","EC00025;EC00021;EC000167;EC00087"
"Methionine and cysteine metabolism","94","26","6","5.938","0.46366","0.64277",NA,"26","0.26","1","1",NA,"P34","EC00012;EC00085;EC000360;EC00052;EC00054;EC0001083"
"Polyunsaturated fatty acid biosynthesis","21","1","1","0.64544","0.46658","1",NA,"25","0.25","1","1",NA,"P35","EC000590"
"Fructose and mannose metabolism","33","22","7","2.8399","0.49062","0.74977",NA,"33","0.33","1","1",NA,"P36","EC000167;EC00025;EC00087"
"Glyoxylate and Dicarboxylate Metabolism","12","5","2","1.8072","0.50531","0.82688",NA,"9","0.09","1","1",NA,"P37","EC00087;EC000151"
"Vitamin H (biotin) metabolism","5","3","1","0.77453","0.52973","1",NA,"21","0.21","1","1",NA,"P38","EC00094"
"Benzoate degradation via CoA ligation","4","2","1","0.77453","0.52973","1",NA,"22","0.22","1","1",NA,"P39","EC000118"
"Propanoate metabolism","31","8","4","1.9363","0.54365","0.84739",NA,"20","0.2","1","1",NA,"P40","EC00085;EC000167"
"Starch and Sucrose Metabolism","33","14","4","1.9363","0.54365","0.84739",NA,"24","0.24","1","1",NA,"P41","EC00021;EC00025"
"Xenobiotics metabolism","110","28","4","5.4217","0.56449","0.74536",NA,"37","0.37","1","1",NA,"P42","EC000979;EC0001072;EC0001030;EC0001031;EC000678"
"Glycolysis and Gluconeogenesis","49","24","7","3.2272","0.58069","0.81122",NA,"16","0.16","1","1",NA,"P43","EC00087;EC00025;EC000167"
"Beta-Alanine metabolism","20","12","2","3.3563","0.60842","0.82852",NA,"39","0.39","1","1",NA,"P44","EC000107;EC000108;EC000167"
"Carbon fixation","10","9","3","2.1945","0.614","0.88143",NA,"28","0.28","1","1",NA,"P45","EC00087;EC000222"
"Vitamin D3 (cholecalciferol) metabolism","16","9","2","1.0327","0.63461","1",NA,"27","0.27","1","1",NA,"P46","EC0001141"
"Vitamin B3 (nicotinate and nicotinamide) metabolism","28","16","3","3.6145","0.66016","0.85893",NA,"47","0.47","1","1",NA,"P47","EC00012;EC00042;EC000137"
"Arginine and Proline Metabolism","45","24","8","8.5198","0.67993","0.80709",NA,"48","0.48","1","1",NA,"P48","EC00042;EC000735;EC000703;EC00052;EC00054;EC000308;EC000284"
"Glycosphingolipid metabolism","67","16","7","3.7435","0.68413","0.87222",NA,"73","0.73","1","1",NA,"P49","EC000375;EC00025;EC00021"
