"","m.z","p.value","mode","r.t"
"1",85.0284,0.40073097191043,"positive",158.2
"2",85.1747,0.628526676771273,"positive",61
"3",85.2862,0.883773312720381,"positive",60.8
"4",85.3987,0.956048944269566,"positive",62
"5",85.5101,0.992281749382961,"positive",61.5
"6",85.6499,0.451842284515305,"positive",171
"7",85.963,0.270637920214429,"positive",214.7
"8",86.0318,0.439713509272427,"positive",129.9
"9",86.0503,0.932154734442826,"positive",274.6
"10",86.06,0.470139463859556,"positive",22.8
"11",86.06,0.687004647269349,"positive",291.2
"12",86.0713,0.454541777777412,"positive",128.4
"13",86.0964,0.569427878039904,"positive",108.5
"14",86.0965,0.0591183824591454,"positive",156.3
"15",86.7279,0.435159068580584,"positive",63.4
"16",86.8393,0.576275493282014,"positive",63.6
"17",86.9519,0.718811034904391,"positive",62.6
"18",86.9927,0.883845431467187,"positive",206.6
"19",87.0441,0.827767017604709,"positive",137.5
"20",87.0441,0.509606325245632,"positive",73.3
"21",87.0634,0.753014680757407,"positive",62.8
"22",87.0909,0.65844706774589,"positive",119.5
"23",87.0998,0.787604001098754,"positive",107.4
"24",87.0998,0.0258306100411877,"positive",156.4
"25",87.1755,0.22756862115469,"positive",63.5
"26",87.2874,0.150573248881547,"positive",64
"27",87.3998,0.202667437547511,"positive",63.7
"28",87.5113,0.336342386358598,"positive",64
"29",87.6231,0.1970658673667,"positive",63.8
"30",88.0216,0.84768808288123,"positive",105.5
"31",88.0393,0.433018414986482,"positive",190
"32",88.0578,0.778889850098995,"positive",265.5
"33",88.0578,0.577006964346118,"positive",184.4
"34",88.0639,0.595410779598749,"positive",154
"35",88.0651,0.508360542784757,"positive",60.9
"36",88.0659,0.84017502402049,"positive",271.1
"37",88.0757,0.672588854394802,"positive",137.1
"38",88.1121,0.679133367715516,"positive",18.3
"39",88.1121,0.741941601157713,"positive",145
"40",88.1766,0.789164491361684,"positive",60.7
"41",88.2893,0.984714764323021,"positive",61
"42",88.4008,0.684670379521613,"positive",60.6
"43",88.5131,0.645143138060226,"positive",60.7
"44",88.8208,0.221842503762158,"positive",49
"45",88.9526,0.344822919449079,"positive",214.4
"46",89.0249,0.178148780771855,"positive",165.4
"47",89.0418,0.937672283788924,"positive",268.6
"48",89.0418,0.908632110530741,"positive",196.4
"49",89.0597,0.174666868775159,"positive",70
"50",89.071,0.912895956522466,"positive",141.9
"51",89.079,0.0730954094357242,"positive",17.1
"52",89.079,0.410739657172509,"positive",188.6
"53",89.0791,0.30768624427432,"positive",137.6
"54",89.5067,0.489763213208922,"positive",293
"55",89.6186,0.887439613251198,"positive",61.9
"56",89.7301,0.760141777230186,"positive",62.1
"57",89.8425,0.525046982288215,"positive",61.8
"58",89.9537,0.707899255735752,"positive",62.3
"59",90.0212,0.65908934720917,"positive",30.1
"60",90.0372,0.199244464452376,"positive",89.2
"61",90.055,0.611389629649521,"positive",178.9
"62",90.0607,0.517836336965501,"positive",154.1
"63",90.0631,0.699232067854075,"positive",71.3
"64",90.0664,0.92525880222765,"positive",61.3
"65",90.0735,0.718135855646832,"positive",269.7
"66",90.0914,0.91009597066846,"positive",138.7
"67",90.178,0.98801324665352,"positive",61.5
"68",90.1851,0.674894361004381,"positive",70.3
"69",90.2898,0.543250645617095,"positive",62.2
"70",90.4017,0.726576745755015,"positive",62.4
"71",90.507,0.967321111931433,"positive",14
"72",90.507,0.963978596369422,"positive",204
"73",90.5258,0.679950805354093,"positive",277.6
"74",90.5259,0.528791946503405,"positive",215.9
"75",90.7313,0.129782343343167,"positive",171.2
"76",90.9477,0.863647618581578,"positive",287.8
"77",90.9734,0.200135001154806,"positive",171.4
"78",90.9766,0.732617857713396,"positive",170.4
"79",90.9786,0.208727768521523,"positive",171.1
"80",91.0059,0.158356762734096,"positive",205.9
"81",91.0235,0.180571608844395,"positive",93.9
"82",91.0398,0.998520163357974,"positive",163.9
"83",91.0453,0.817032752845049,"positive",122.3
"84",91.0543,0.962887018296411,"positive",159.5
"85",91.0583,0.798619625263968,"positive",179.2
"86",91.1795,0.189915819596998,"positive",60.3
"87",91.5047,0.366530144172906,"positive",203.6
"88",91.98,0.488314133156268,"positive",170.5
"89",92.0287,0.52149664237809,"positive",155
"90",92.0494,0.817201216390289,"positive",121.7
"91",92.0576,0.483355746419854,"positive",165.1
"92",92.5091,0.424785167274152,"positive",60.9
"93",92.7332,0.699608804804293,"positive",61
"94",92.8446,0.57288193708335,"positive",60.6
"95",92.9568,0.405193476864968,"positive",60.8
"96",92.9809,0.748729689260087,"positive",171.2
"97",93.0191,0.824978703084065,"positive",154.6
"98",93.0402,0.342408561958781,"positive",29.7
"99",93.0403,0.191217036363682,"positive",141.9
"100",93.0447,0.651796644639243,"positive",14.7
