Metabolite,t.score,p.value,FDR,logFC,Rank
HILIC_85.02841798_290.4586431,-0.24284506420079682,0.8094162520755949,0.9999999999999997,-0.15851955870628057,1
HILIC_85.02846539_56.5877659,0.24634702442400036,0.8067240428859186,0.9999999999999997,0.11666716163589672,2
HILIC_85.0414635_71.26778911,-0.2648329356004365,0.7925527452606604,0.9999999999999997,-0.15625902427074098,3
HILIC_85.04779606_71.95313692,0.29072776641481735,0.772821964122032,0.9999999999999997,0.11123937291322121,4
HILIC_85.08415983_112.488396,0.9508239263434527,0.34763257060809016,0.9999999999999997,1.0236818359442124,5
HILIC_85.10119486_291.8284664,-2.269533774957596,0.02892598968445006,0.9999999999999997,-1.9811796738973877,6
HILIC_85.51560053_246.8553878,1.49514594394907,0.14303927054196652,0.9999999999999997,1.7858984707314502,7
HILIC_85.96310233_203.505821,-1.119792696545862,0.2697484251218316,0.9999999999999997,-0.9088665653519524,8
HILIC_86.06007085_287.4093516,-1.1476462890759156,0.2582053284393333,0.9999999999999997,-0.5932228829797834,9
HILIC_86.0601188_67.60032266,0.47739295341288057,0.6357849140290757,0.9999999999999997,0.2010820696461226,10
HILIC_86.07134649_31.06981639,-0.15621222895684322,0.8766830426707415,0.9999999999999997,-0.059831735538594,11
HILIC_86.09663859_36.79735597,-1.195600625831416,0.23917421601114577,0.9999999999999997,-0.4566740623188758,12
HILIC_86.50246097_105.8203745,-0.4423054991588374,0.6607462330269926,0.9999999999999997,-0.6800521486181228,13
HILIC_86.71706644_48.17979105,-2.0362600877766525e-4,0.9998385827727307,0.9999999999999997,-2.4403573809893904e-4,14
HILIC_86.90869577_42.67711193,0.4355161922873989,0.665622963755079,0.9999999999999997,0.17180080432386313,15
HILIC_86.93890293_48.06127491,0.753406455790658,0.45579448312601756,0.9999999999999997,0.909363240176269,16
HILIC_86.95260182_25.39613694,-0.9754844702285793,0.33541756262089695,0.9999999999999997,-0.7210007726037546,17
HILIC_86.95581031_178.7232882,-1.4898104549850422,0.14443198178427014,0.9999999999999997,-2.082020541948956,18
HILIC_86.96401272_165.1674532,-0.07932382015175302,0.937186471871849,0.9999999999999997,-0.07807015955752146,19
HILIC_87.02636387_42.70896931,-0.9327151248533309,0.3567873369768957,0.9999999999999997,-0.5955652422005167,20
HILIC_87.04407159_289.5254113,-1.1024117649793286,0.27713535135836087,0.9999999999999997,-0.7681248957860163,21
HILIC_87.04410261_38.700804,-0.8695094970646493,0.389964230387819,0.9999999999999997,-0.6125996996133861,22
HILIC_87.05531146_75.31729616,-0.25236690966812614,0.8021016986875619,0.9999999999999997,-0.10280157855640082,23
HILIC_87.0641035_25.25585843,-0.9703216319133665,0.33795079383882676,0.9999999999999997,-1.132028654339901,24
HILIC_87.0917115_292.1118076,-1.0699026051829885,0.29133374366570086,0.9999999999999997,-0.7203042862964949,25
HILIC_87.09352591_36.60956775,-0.6419556580628162,0.524711024807818,0.9999999999999997,-0.7218187256799191,26
HILIC_87.09985007_37.17141102,-1.5574562265784344,0.12755597830110274,0.9999999999999997,-0.5898934654972264,27
HILIC_87.16080947_48.28601042,-0.661860191426505,0.5120082114197606,0.9999999999999997,-0.5062349069638199,28
HILIC_87.17652527_25.47557987,0.7672011551034509,0.44764749827263994,0.9999999999999997,0.6344262747665442,29
HILIC_87.25464156_258.6436112,0.6880425131035914,0.4955562129786317,0.9999999999999997,0.629340766075111,30
HILIC_87.28809142_25.43432856,-0.6003119187982914,0.5518204415165632,0.9999999999999997,-0.3888161617879321,31
HILIC_87.40056958_25.99308903,1.8218077097893262,0.07627014655246862,0.9999999999999997,2.0670377709578447,32
HILIC_88.00425131_284.1698492,0.030055805732146765,0.976178015952123,0.9999999999999997,0.015500810839598833,33
HILIC_88.02159395_153.8199004,-0.36381395019473556,0.7179898622052908,0.9999999999999997,-0.7004909187542089,34
HILIC_88.02318786_251.4833965,-0.608586717981975,0.5463772002705625,0.9999999999999997,-0.30372690180487694,35
HILIC_88.03933581_286.5493904,-0.24352388670005196,0.8088942079757101,0.9999999999999997,-0.20592791798586013,36
HILIC_88.03935127_80.39524183,-0.8489293138949714,0.4011752033976518,0.9999999999999997,-0.428896305278804,37
HILIC_88.03938885_185.4880557,-0.3946752187705885,0.6952634163508837,0.9999999999999997,-0.3645944469061757,38
