m.z,p.value,mode,r.t
85.02841798,0.42744675909546437,positive,290.4586431
85.02846539,0.1411247954059652,positive,56.5877659
85.0414635,0.9836616761554441,positive,71.26778911
85.04779606,0.4538571739460332,positive,71.95313692
85.08415983,0.5248469217752267,positive,112.488396
85.10119486,0.008896117941719982,positive,291.8284664
85.51560053,0.08970180629887105,positive,246.8553878
85.96310233,0.7826231546762162,positive,203.505821
86.06007085,0.08162676390046016,positive,287.4093516
86.0601188,0.37339040566454396,positive,67.60032266
86.07134649,0.009828842198461366,positive,31.06981639
86.09663859,0.31499775685362547,positive,36.79735597
86.50246097,0.443547255585774,positive,105.8203745
86.71706644,0.48909704175316204,positive,48.17979105
86.90869577,0.4628566191790692,positive,42.67711193
86.93890293,0.24861771898037438,positive,48.06127491
86.95260182,0.7373431406457656,positive,25.39613694
86.95581031,0.4933136699943619,positive,178.7232882
86.96401272,0.521137279151653,positive,165.1674532
87.02636387,0.5490359309029684,positive,42.70896931
87.04407159,0.036268425242379644,positive,289.5254113
87.04410261,0.6294568839669679,positive,38.700804
87.05531146,0.3410447261941093,positive,75.31729616
87.0641035,0.5553424198740334,positive,25.25585843
87.0917115,0.666097283620732,positive,292.1118076
87.09352591,0.06298041220511023,positive,36.60956775
87.09985007,0.2250317795408259,positive,37.17141102
87.16080947,0.6055236212497527,positive,48.28601042
87.17652527,0.5125147991652705,positive,25.47557987
87.25464156,0.46859254284336815,positive,258.6436112
87.28809142,0.7078820909506427,positive,25.43432856
87.40056958,0.773008122994788,positive,25.99308903
88.00425131,0.35978705730296046,positive,284.1698492
88.02159395,0.9892268165569715,positive,153.8199004
88.02318786,0.339469612498946,positive,251.4833965
88.03933581,0.3745346923564703,positive,286.5493904
88.03935127,0.3093002091543675,positive,80.39524183
88.03938885,0.9837249270255344,positive,185.4880557
88.05789901,0.9475089292381285,positive,64.27036148
88.07574809,0.46117724391510895,positive,83.18402635
88.52081017,0.037334315213769086,positive,222.3868003
88.61739048,0.741592546004338,positive,81.10970972
88.95268286,0.5303099266752072,positive,252.2971503
88.96846102,0.47703862183843415,positive,294.2321983
89.001987,0.599337536609249,positive,284.0176711
89.00201042,0.5365874198582139,positive,81.13984198
89.0083215,0.8829440910406383,positive,71.42808776
89.00833293,0.9994449635126044,positive,279.7373193
89.03864944,0.5007084138977116,positive,34.64945445
89.04188835,0.31008982905000476,positive,54.55857461
89.059759,0.5863202881706657,positive,130.7241784
89.05982223,0.5291153772716961,positive,296.0381341
89.07096677,0.030666121215994217,positive,288.26625
89.10736192,0.1929297067089899,positive,274.5428103
89.50682187,0.02361340737632691,positive,281.9276928
89.51002308,0.8836995399227301,positive,192.2789219
89.61936919,0.49322530668473297,positive,24.73978144
89.7309166,0.518969484295381,positive,24.58527972
89.95081898,0.51093572232189,positive,282.4417173
89.95083549,0.9860527993946847,positive,169.2771538
89.96249768,0.1265321154584016,positive,225.0080642
90.03723536,0.13832254997811777,positive,290.3656427
90.05502652,0.5651217156763427,positive,57.64460634
90.06723026,0.39532055143926614,positive,25.35141934
90.09138826,0.1274401332832676,positive,283.2392524
90.50698229,0.3910955039722941,positive,257.3794829
