m.z,p.value,mode,r.t
85.02841798,0.8094162520755949,positive,290.4586431
85.02846539,0.8067240428859186,positive,56.5877659
85.0414635,0.7925527452606604,positive,71.26778911
85.04779606,0.772821964122032,positive,71.95313692
85.08415983,0.34763257060809016,positive,112.488396
85.10119486,0.02892598968445006,positive,291.8284664
85.51560053,0.14303927054196652,positive,246.8553878
85.96310233,0.2697484251218316,positive,203.505821
86.06007085,0.2582053284393333,positive,287.4093516
86.0601188,0.6357849140290757,positive,67.60032266
86.07134649,0.8766830426707415,positive,31.06981639
86.09663859,0.23917421601114577,positive,36.79735597
86.50246097,0.6607462330269926,positive,105.8203745
86.71706644,0.9998385827727307,positive,48.17979105
86.90869577,0.665622963755079,positive,42.67711193
86.93890293,0.45579448312601756,positive,48.06127491
86.95260182,0.33541756262089695,positive,25.39613694
86.95581031,0.14443198178427014,positive,178.7232882
86.96401272,0.937186471871849,positive,165.1674532
87.02636387,0.3567873369768957,positive,42.70896931
87.04407159,0.27713535135836087,positive,289.5254113
87.04410261,0.389964230387819,positive,38.700804
87.05531146,0.8021016986875619,positive,75.31729616
87.0641035,0.33795079383882676,positive,25.25585843
87.0917115,0.29133374366570086,positive,292.1118076
87.09352591,0.524711024807818,positive,36.60956775
87.09985007,0.12755597830110274,positive,37.17141102
87.16080947,0.5120082114197606,positive,48.28601042
87.17652527,0.44764749827263994,positive,25.47557987
87.25464156,0.4955562129786317,positive,258.6436112
87.28809142,0.5518204415165632,positive,25.43432856
87.40056958,0.07627014655246862,positive,25.99308903
88.00425131,0.976178015952123,positive,284.1698492
88.02159395,0.7179898622052908,positive,153.8199004
88.02318786,0.5463772002705625,positive,251.4833965
88.03933581,0.8088942079757101,positive,286.5493904
88.03935127,0.4011752033976518,positive,80.39524183
88.03938885,0.6952634163508837,positive,185.4880557
88.05789901,0.9188626985551605,positive,64.27036148
88.07574809,0.19849913179408046,positive,83.18402635
88.52081017,0.4553463857921778,positive,222.3868003
88.61739048,0.24673138699096359,positive,81.10970972
88.95268286,0.25209168281527866,positive,252.2971503
88.96846102,0.6027013684463709,positive,294.2321983
89.001987,0.8074800313432384,positive,284.0176711
89.00201042,0.5263088417306854,positive,81.13984198
89.0083215,0.549073820087904,positive,71.42808776
89.00833293,0.5582836678140899,positive,279.7373193
89.03864944,0.5699241683123771,positive,34.64945445
89.04188835,0.8228884656181773,positive,54.55857461
89.059759,0.716241374735133,positive,130.7241784
89.05982223,0.6452222987914324,positive,296.0381341
89.07096677,0.18792811668184484,positive,288.26625
89.10736192,0.9995223841619658,positive,274.5428103
89.50682187,0.22307133882124505,positive,281.9276928
89.51002308,0.7396980004895097,positive,192.2789219
89.61936919,0.43349664229495377,positive,24.73978144
89.7309166,0.13720117263321396,positive,24.58527972
89.95081898,0.8142198444579206,positive,282.4417173
89.95083549,0.18894947623391922,positive,169.2771538
89.96249768,0.5146908911925776,positive,225.0080642
90.03723536,0.5114026309347703,positive,290.3656427
90.05502652,0.9776503099322618,positive,57.64460634
