m.z,p.value,mode,r.t
85.02841798,0.07345626406579418,positive,290.4586431
85.02846539,0.3619106138688334,positive,56.5877659
85.0414635,0.8090064835372108,positive,71.26778911
85.04779606,0.5855678465431138,positive,71.95313692
85.08415983,0.09056155888460361,positive,112.488396
85.10119486,0.012391338465769702,positive,291.8284664
85.51560053,0.4694172663564917,positive,246.8553878
85.96310233,0.6764187711167499,positive,203.505821
86.06007085,0.0075267423487963255,positive,287.4093516
86.0601188,0.3501241961453285,positive,67.60032266
86.07134649,0.5575285666556556,positive,31.06981639
86.09663859,0.0049741385403296,positive,36.79735597
86.50246097,0.930767242505944,positive,105.8203745
86.71706644,0.7939243657790191,positive,48.17979105
86.90869577,0.6784829806669008,positive,42.67711193
86.93890293,0.3257287324664939,positive,48.06127491
86.95260182,0.06361424232637292,positive,25.39613694
86.95581031,0.4962256854901741,positive,178.7232882
86.96401272,0.24972136690280278,positive,165.1674532
87.02636387,2.8195922180244924e-5,positive,42.70896931
87.04407159,0.29833736897616675,positive,289.5254113
87.04410261,0.0171570828584714,positive,38.700804
87.05531146,0.06432153554846166,positive,75.31729616
87.0641035,0.08221884048001923,positive,25.25585843
87.0917115,0.14018867966047452,positive,292.1118076
87.09352591,0.06056620318196184,positive,36.60956775
87.09985007,0.0014224912615824355,positive,37.17141102
87.16080947,0.48881509280511526,positive,48.28601042
87.17652527,0.08812438516048528,positive,25.47557987
87.25464156,0.8141182188665989,positive,258.6436112
87.28809142,0.5842723850896412,positive,25.43432856
87.40056958,0.08161646201223847,positive,25.99308903
88.00425131,0.9295042207369407,positive,284.1698492
88.02159395,0.780558856644488,positive,153.8199004
88.02318786,0.1903467753261557,positive,251.4833965
88.03933581,0.9526323403030773,positive,286.5493904
88.03935127,0.2091946669014245,positive,80.39524183
88.03938885,0.37005075718835967,positive,185.4880557
88.05789901,0.5006357557572132,positive,64.27036148
88.07574809,0.6636227329982382,positive,83.18402635
88.52081017,0.3538114326781121,positive,222.3868003
88.61739048,0.8616814681059868,positive,81.10970972
88.95268286,0.5440260260717515,positive,252.2971503
88.96846102,0.5276146534865818,positive,294.2321983
89.001987,0.9036925459797354,positive,284.0176711
89.00201042,0.6310223212792496,positive,81.13984198
89.0083215,0.2272684769522299,positive,71.42808776
89.00833293,0.6078996765279214,positive,279.7373193
89.03864944,0.09267778705023613,positive,34.64945445
89.04188835,0.9199617216876192,positive,54.55857461
89.059759,0.23741022709853543,positive,130.7241784
89.05982223,0.4558876058818837,positive,296.0381341
89.07096677,0.01939465398581031,positive,288.26625
89.10736192,0.9902972736130085,positive,274.5428103
89.50682187,0.37149522017542347,positive,281.9276928
89.51002308,0.679415974073855,positive,192.2789219
89.61936919,0.9662753973845983,positive,24.73978144
89.7309166,0.49939673874764545,positive,24.58527972
89.95081898,0.9154580333066705,positive,282.4417173
89.95083549,0.2267660676897147,positive,169.2771538
89.96249768,0.7733365063297836,positive,225.0080642
90.03723536,0.0428319018637324,positive,290.3656427
90.05502652,0.6238893620477554,positive,57.64460634
90.06723026,0.29717651676119067,positive,25.35141934
90.09138826,0.23099615115206532,positive,283.2392524
90.50698229,0.2646749039378533,positive,257.3794829
90.5242414,0.8671544135918643,positive,206.845207
90.5273569,0.9025978405135074,positive,255.510963
90.97669008,0.2406094248361384,positive,56.16844276
91.00589404,0.5435284460537371,positive,283.2412351
91.00865137,0.7281212259592219,positive,281.5012103
91.00866596,0.26036518860783725,positive,81.45515544
91.01795313,0.8501712266570538,positive,194.9575463
91.02903867,0.6542331494497737,positive,270.4874102
91.03979443,0.6586391925520477,positive,42.58728616
91.05430844,0.3010039598969215,positive,39.49641254
91.05836822,0.518276850442569,positive,61.3065251
91.50469881,0.8469692025290944,positive,274.0240948
91.51486603,0.5310815895712689,positive,35.59365995
91.52206465,0.8839774170701257,positive,196.2333935
91.52521365,0.5300742357993824,positive,216.803652
91.52857066,0.2404151433120791,positive,203.377437
91.98005305,0.41820970083454334,positive,59.24161099
92.00482047,0.4406519162876381,positive,280.1555784
92.00636441,0.3732832702164016,positive,282.3773474
92.02157614,0.7096420318310129,positive,188.9048091
92.0240254,0.4203037252963179,positive,201.4034171
92.02569931,0.6362327790910705,positive,217.6720968
92.0369682,0.6252991416962299,positive,125.5009436
92.04953958,0.30106073922801696,positive,27.12485427
92.05761655,0.19836253507975385,positive,290.2283105
92.33810774,0.9094890539165701,positive,22.54292926
92.50348013,0.5989058851463787,positive,284.0719607
92.503492,0.015738248487148526,positive,80.48193747
92.94813874,0.8627666902154918,positive,85.31516333
92.94814353,0.8842808065014891,positive,284.9895186
93.01997413,0.49217042455102855,positive,217.7475323
93.0240484,0.5954976232113541,positive,203.0219762
93.04480659,0.7319404758438524,positive,99.74035108
93.06994024,0.1363598560599701,positive,59.20747924
93.06994572,0.21078386761288395,positive,134.0334726
93.50377753,0.8530436426391192,positive,275.5340212
93.98409529,0.12817473378998698,positive,279.4198637
94.02880157,0.517407992226885,positive,39.22809772
94.0451383,0.5839173160752879,positive,123.2344593
94.06518108,0.9507916144243266,positive,125.0537174
94.07324692,0.030588851778437016,positive,290.7029809
94.5023231,0.5958192702178018,positive,274.5414159
94.52084594,0.4952759265648825,positive,220.0657357
94.543682,0.8075602971111433,positive,151.0944294
94.54642742,0.3927060496599045,positive,251.5590928
94.94357368,0.8517930896256722,positive,283.2714483
95.01280726,0.6213686364046258,positive,71.5910938
95.02402448,0.06942433005259627,positive,270.0370196
95.04387206,0.6000540996708714,positive,240.8349018
95.04389743,0.3757310060761395,positive,127.814977
95.04721541,0.45583922470039073,positive,147.7880064
95.04905656,0.37232584569816785,positive,276.6921965
95.04921145,0.7921053730299008,positive,145.0280525
95.06043216,0.9334613748016927,positive,100.9513343
95.06854325,0.8385282872692142,positive,38.04931808
