Metabolite,t.score,p.value,FDR,logFC,Rank
HILIC_85.02841798_290.4586431,1.8402728534632278,0.07345626406579418,0.6716828542500342,0.7517242253917917,1
HILIC_85.02846539_56.5877659,-0.9227136050635804,0.3619106138688334,0.9621959289015692,-0.27345822355453014,2
HILIC_85.0414635_71.26778911,0.2433778832546787,0.8090064835372108,1,0.08986218532919267,3
HILIC_85.04779606_71.95313692,-0.549900653077247,0.5855678465431138,0.9913379189285378,-0.1316676269862502,4
HILIC_85.08415983_112.488396,-1.7360586316175384,0.09056155888460361,0.7034396994003055,-1.1696395278706173,5
HILIC_85.10119486_291.8284664,2.624195015770431,0.012391338465769702,0.3216997248155867,1.4335276446168093,6
HILIC_85.51560053_246.8553878,-0.7306577623376165,0.4694172663564917,0.9777549229263227,-0.546147479402453,7
HILIC_85.96310233_203.505821,0.4205585060807235,0.6764187711167499,0.9996367449012522,0.2136051260889919,8
HILIC_86.06007085_287.4093516,2.8213747587831017,0.0075267423487963255,0.2584514400413996,0.9126271148046715,9
HILIC_86.0601188_67.60032266,-0.945864509078956,0.3501241961453285,0.9578247927857968,-0.24931535395885873,10
HILIC_86.07134649_31.06981639,-0.5916790837858944,0.5575285666556556,0.9878934493313638,-0.14181610101764422,11
HILIC_86.09663859_36.79735597,2.980113725001555,0.0049741385403296,0.21527194619442977,0.7123210892321188,12
HILIC_86.50246097_105.8203745,-0.08745056303105464,0.930767242505944,1,-0.08414052952077546,13
HILIC_86.71706644_48.17979105,0.2630397561115439,0.7939243657790191,1,0.1972714918265296,14
HILIC_86.90869577_42.67711193,-0.41770954038530017,0.6784829806669008,0.9996367449012522,-0.10311409478490165,15
HILIC_86.93890293_48.06127491,-0.9954756736033673,0.3257287324664939,0.9506069103298993,-0.7519023836058737,16
HILIC_86.95260182_25.39613694,1.9099937839296541,0.06361424232637292,0.636547609520585,0.883425796842107,17
HILIC_86.95581031_178.7232882,0.6869678285138674,0.4962256854901741,0.9781047779839798,0.600776787403006,18
HILIC_86.96401272_165.1674532,-1.1686953221237806,0.24972136690280278,0.9046740560864915,-0.7197894953360457,19
HILIC_87.02636387_42.70896931,4.750515320592361,2.8195922180244924e-5,0.02395189232850786,1.8982080045415257,20
HILIC_87.04407159_289.5254113,1.0542744015651007,0.29833736897616675,0.9388638086478203,0.459689322657942,21
HILIC_87.04410261_38.700804,2.4912665664663627,0.0171570828584714,0.3785642861047552,1.0983617543937145,22
HILIC_87.05531146_75.31729616,1.9046860091976237,0.06432153554846166,0.6379364415822807,0.4855271480178657,23
HILIC_87.0641035_25.25585843,1.7845967016053421,0.08221884048001923,0.6948552844377854,1.302880383508981,24
HILIC_87.0917115_292.1118076,1.5061971313237508,0.14018867966047452,0.7851055614738052,0.634565304596357,25
HILIC_87.09352591_36.60956775,1.9334639975328207,0.06056620318196184,0.62680833464336,1.36044802928834,26
HILIC_87.09985007_37.17141102,3.4380295980477413,0.0014224912615824355,0.11343826253533026,0.814873322401925,27
HILIC_87.16080947_48.28601042,-0.6989091689929325,0.48881509280511526,0.9781047779839798,-0.3345255692781617,28
HILIC_87.17652527_25.47557987,-1.749836323881704,0.08812438516048528,0.6987283714390797,-0.9055075865309068,29
HILIC_87.25464156_258.6436112,-0.23673614201914936,0.8141182188665989,1,-0.13550580781252233,30
HILIC_87.28809142_25.43432856,-0.5518089572248458,0.5842723850896412,0.9913379189285378,-0.2236551182998602,31
HILIC_87.40056958_25.99308903,-1.7882593357591698,0.08161646201223847,0.6948552844377854,-1.2696941851848709,32
HILIC_88.00425131_284.1698492,0.08905022870230778,0.9295042207369407,1,0.02873980608108823,33
HILIC_88.02159395_153.8199004,-0.2805509906058141,0.780558856644488,1,-0.3380319267890128,34
HILIC_88.02318786_251.4833965,-1.3330921777929219,0.1903467753261557,0.8507713974810356,-0.41633576771525416,35
HILIC_88.03933581_286.5493904,0.059790296427853766,0.9526323403030773,1,0.031639318571920226,36
HILIC_88.03935127_80.39524183,1.277187972906566,0.2091946669014245,0.8683661493536527,0.40379259263299216,37
HILIC_88.03938885_185.4880557,-0.9070103953768116,0.37005075718835967,0.9637531830220828,-0.5243306057176136,38
HILIC_88.05789901_64.27036148,-0.6799084414296558,0.5006357557572132,0.9781047779839798,-0.16964224204779574,39
HILIC_88.07574809_83.18402635,0.4382983848949792,0.6636227329982382,0.9978767801948073,0.15429512763275444,40
HILIC_88.52081017_222.3868003,-0.9385678113438681,0.3538114326781121,0.9588670540445742,-0.3726620098907828,41
HILIC_88.61739048_81.10970972,0.1754055379139991,0.8616814681059868,1,0.09369419620109716,42
HILIC_88.95268286_252.2971503,0.6121740708289178,0.5440260260717515,0.9844101439284977,0.25562763715088993,43
HILIC_88.96846102_294.2321983,-0.6374421545134075,0.5276146534865818,0.9824083431236167,-0.3794513049660255,44
HILIC_89.001987_284.0176711,0.12179900487325111,0.9036925459797354,1,0.04229078451696255,45
HILIC_89.00201042_81.13984198,-0.4841548860414736,0.6310223212792496,0.9947980550876518,-0.3737522753198664,46
HILIC_89.0083215_71.42808776,-1.22703847642176,0.2272684769522299,0.8838402126105115,-0.49024516657132006,47
HILIC_89.00833293_279.7373193,0.5173150678887507,0.6078996765279214,0.9928201179984223,0.07595206563994827,48
HILIC_89.03864944_34.64945445,-1.7243445310482863,0.09267778705023613,0.7109023686553717,-0.518193845942207,49
HILIC_89.04188835_54.55857461,-0.10114402851986218,0.9199617216876192,1,-0.04518424020197892,50
HILIC_89.059759_130.7241784,-1.2001847514314428,0.23741022709853543,0.8932665963443939,-0.3740774153541154,51
HILIC_89.05982223_296.0381341,-0.7532496175715638,0.4558876058818837,0.9753792522951469,-0.2217332492628245,52
HILIC_89.07096677_288.26625,2.440211956662503,0.01939465398581031,0.4041228254674534,1.536976219455195,53
HILIC_89.10736192_274.5428103,0.012240193229002182,0.9902972736130085,1,0.0058897278471915435,54
HILIC_89.50682187_281.9276928,-0.9042472969194197,0.37149522017542347,0.9637531830220828,-0.2786633059964002,55
HILIC_89.51002308_192.2789219,-0.4164229851617191,0.679415974073855,0.9999159889500627,-0.14327556458244367,56
HILIC_89.61936919_24.73978144,-0.04255638040635358,0.9662753973845983,1,-0.02545155144260686,57
HILIC_89.7309166_24.58527972,-0.6818883063485417,0.49939673874764545,0.9781047779839798,-0.5496098436843208,58
HILIC_89.95081898_282.4417173,0.10685699567623129,0.9154580333066705,1,0.03485444456583144,59
HILIC_89.95083549_169.2771538,-1.2283916108632174,0.2267660676897147,0.8838307314088665,-1.0866636603594264,60
HILIC_89.96249768_225.0080642,-0.29005001391557567,0.7733365063297836,1,-0.09536339229014361,61
HILIC_90.03723536_290.3656427,2.0947669158758315,0.0428319018637324,0.5439686162322036,0.898190689284063,62
HILIC_90.05502652_57.64460634,0.49432477930376956,0.6238893620477554,0.9947980550876518,0.22938396614088175,63
HILIC_90.06723026_25.35141934,-1.0568469958583684,0.29717651676119067,0.9388638086478203,-0.7130694208563362,64
HILIC_90.09138826_283.2392524,1.217067309562103,0.23099615115206532,0.8875782173548652,0.5150945213907505,65
HILIC_90.50698229_257.3794829,1.1319277825460934,0.2646749039378533,0.9153716740091526,0.17061076355094543,66
HILIC_90.5242414_206.845207,0.1683960482919351,0.8671544135918643,1,0.08065040922371713,67
HILIC_90.5273569_255.510963,0.12319063256857397,0.9025978405135074,1,0.13741601760226108,68
HILIC_90.97669008_56.16844276,-1.1918891644994258,0.2406094248361384,0.8961162212635817,-0.3666879833284798,69
HILIC_91.00589404_283.2412351,0.6129342897185897,0.5435284460537371,0.9844101439284977,0.178271745074178,70
HILIC_91.00865137_281.5012103,0.3501712266787901,0.7281212259592219,1,0.08521232751795481,71
HILIC_91.00866596_81.45515544,1.1423675230136547,0.26036518860783725,0.911112589206785,0.6471654919572364,72
HILIC_91.01795313_194.9575463,0.1901766302331916,0.8501712266570538,1,0.07231670279120286,73
HILIC_91.02903867_270.4874102,0.4514055478726604,0.6542331494497737,0.9965858111391217,0.17598476055739273,74
HILIC_91.03979443_42.58728616,-0.44524531972421727,0.6586391925520477,0.9966192045168055,-0.0826566006700832,75
HILIC_91.05430844_39.49641254,-1.0483910915004422,0.3010039598969215,0.9396681966123791,-0.35903234897599695,76
HILIC_91.05836822_61.3065251,-0.6520048567835282,0.518276850442569,0.9824083431236167,-0.4555316317697867,77
HILIC_91.50469881_274.0240948,0.19429321939617814,0.8469692025290944,1,0.030469852749522224,78
HILIC_91.51486603_35.59365995,0.6320702304998234,0.5310815895712689,0.9824083431236167,0.34515879229353835,79
HILIC_91.52206465_196.2333935,0.14690138753133267,0.8839774170701257,1,0.07130590668721758,80
HILIC_91.52521365_216.803652,-0.6336291831009199,0.5300742357993824,0.9824083431236167,-0.2946626657277428,81
HILIC_91.52857066_203.377437,-1.1923906273379339,0.2404151433120791,0.8961162212635817,-0.6351044477027284,82
HILIC_91.98005305_59.24161099,0.8183333673420387,0.41820970083454334,0.9715960129104287,0.2901819567364376,83
HILIC_92.00482047_280.1555784,0.7791650550199597,0.4406519162876381,0.9745894987688215,0.20334159514032765,84
HILIC_92.00636441_282.3773474,0.9008365308462052,0.3732832702164016,0.9637531830220828,0.28182630403370623,85
HILIC_92.02157614_188.9048091,-0.3751071460989835,0.7096420318310129,1,-0.19555916231984072,86
HILIC_92.0240254_201.4034171,0.8146255704048088,0.4203037252963179,0.9716822081080376,0.30930161853466204,87
HILIC_92.02569931_217.6720968,-0.47675822287958536,0.6362327790910705,0.9953585489094753,-0.1378057736892794,88
HILIC_92.0369682_125.5009436,0.49231066718277255,0.6252991416962299,0.9947980550876518,0.15174466398619615,89
HILIC_92.04953958_27.12485427,-1.0482662124535695,0.30106073922801696,0.9396681966123791,-0.9297145954583284,90
HILIC_92.05761655_290.2283105,1.3088250661601515,0.19836253507975385,0.8593515168411124,0.46769094353319196,91
HILIC_92.33810774_22.54292926,-0.1144342456280384,0.9094890539165701,1,-0.11117926487180263,92
HILIC_92.50348013_284.0719607,0.5303692147497084,0.5989058851463787,0.9927179766037689,0.11564716919685657,93
HILIC_92.503492_80.48193747,-2.5268838307626043,0.015738248487148526,0.36253355386085534,-1.227386123150109,94
HILIC_92.94813874_85.31516333,0.17401494553433533,0.8627666902154918,1,0.1631495271084395,95
HILIC_92.94814353_284.9895186,0.1465144171466374,0.8842808065014891,1,0.04229574977763549,96
HILIC_93.01997413_217.7475323,-0.6934900165924579,0.49217042455102855,0.9781047779839798,-0.27835240435335934,97
HILIC_93.0240484_203.0219762,-0.5353402088824668,0.5954976232113541,0.9924074341965825,-0.26949687280641876,98
HILIC_93.04480659_99.74035108,0.3450456787365838,0.7319404758438524,1,0.08316876332349894,99
HILIC_93.06994024_59.20747924,-1.521327099529293,0.1363598560599701,0.7769535981134155,-0.5147156682476796,100
HILIC_93.06994572_134.0334726,-1.272651152171131,0.21078386761288395,0.8683661493536527,-0.551410815992513,101
HILIC_93.50377753_275.5340212,-0.18648660310717832,0.8530436426391192,1,-0.08598192418147557,102
HILIC_93.98409529_279.4198637,-1.5548523696689334,0.12817473378998698,0.7671458326289821,-0.5973410203708361,103
HILIC_94.02880157_39.22809772,0.6533669934715488,0.517407992226885,0.9824083431236167,0.26472683111083867,104
HILIC_94.0451383_123.2344593,-0.5523323554596006,0.5839173160752879,0.9913379189285378,-0.35592157727552526,105
HILIC_94.06518108_125.0537174,0.062116781647560244,0.9507916144243266,1,0.025017434491408603,106
HILIC_94.07324692_290.7029809,2.2451118839841153,0.030588851778437016,0.4865601487856593,1.6105543112228042,107
HILIC_94.5023231_274.5414159,0.534870508348849,0.5958192702178018,0.9924074341965825,0.18589065865799778,108
HILIC_94.52084594_220.0657357,-0.6884926878877234,0.4952759265648825,0.9781047779839798,-0.2474360865192434,109
HILIC_94.543682_151.0944294,0.2452589159306938,0.8075602971111433,1,0.11840564892615332,110
HILIC_94.54642742_251.5590928,-0.8644422800242384,0.3927060496599045,0.9669701703160376,-0.4491666015351424,111
HILIC_94.94357368_283.2714483,0.18809279348529814,0.8517930896256722,1,0.0789613923030326,112
HILIC_95.01280726_71.5910938,0.4979311776106331,0.6213686364046258,0.9947980550876518,0.13330459204058046,113
HILIC_95.02402448_270.0370196,1.867808433314927,0.06942433005259627,0.6554424429845478,0.6701237327356644,114
HILIC_95.04387206_240.8349018,0.5286975367502392,0.6000540996708714,0.9927179766037689,0.28732690548451517,115
HILIC_95.04389743_127.814977,-0.8961843929700187,0.3757310060761395,0.9637531830220828,-0.4726072256279864,116
HILIC_95.04721541_147.7880064,0.7533310992729184,0.45583922470039073,0.9753792522951469,0.39785504254836446,117
HILIC_95.04905656_276.6921965,0.9026615384117436,0.37232584569816785,0.9637531830220828,0.20191348312764035,118
HILIC_95.04921145_145.0280525,-0.26541799326421633,0.7921053730299008,1,-0.08043389817692481,119
HILIC_95.06043216_100.9513343,0.08403910239342138,0.9334613748016927,1,0.04968202145933652,120
HILIC_95.06854325_38.04931808,-0.20516142630263773,0.8385282872692142,1,-0.10771976426390825,121
HILIC_95.08560012_30.83855528,-2.17338536089824,0.03597621733046303,0.5143847335746973,-1.0725787239251001,122
HILIC_95.50172477_273.7309703,1.4244555873201796,0.16238079000834305,0.8230328618602025,0.7186927467860965,123
HILIC_95.54560673_123.8812145,0.09530227610941215,0.9245696949476265,1,0.06184531029729039,124
HILIC_95.96404634_278.394581,0.703928876260889,0.48571854578562124,0.9781047779839798,0.2290949434301042,125
HILIC_96.02085669_24.05666906,-1.0113838074234671,0.3181552194138746,0.946632291096964,-0.5370188808632301,126
HILIC_96.04443233_293.0843421,-1.3619866145304365,0.18112866927736937,0.8441208526690812,-0.22398182346776588,127
HILIC_96.04445963_155.8886054,0.46962474618889893,0.6412756268057539,0.9955023063019077,0.12655733265662814,128
HILIC_96.05565544_283.8187459,1.0855378421350854,0.28444275272300434,0.9295944216943315,0.3120101664161217,129
HILIC_96.06824022_119.6157906,-0.7156709936804891,0.47851836535413295,0.9781047779839798,-0.30965125237121505,130
HILIC_96.08079825_285.5052228,-0.40061183135351763,0.690923327137559,0.9999159889500627,-0.18205747793887697,131
HILIC_96.0808262_35.31049728,0.6963573797199991,0.4903934651100136,0.9781047779839798,0.385268103824081,132
HILIC_96.08891983_289.9822178,-0.3506042732116348,0.7277988653880243,1,-0.08766834208331994,133
HILIC_96.08894104_29.14321708,-1.6310591026827015,0.11104314779163083,0.736040478094709,-0.8114530077163374,134
HILIC_96.92181876_47.53810749,-0.8485201465197638,0.40140011707610346,0.9669701703160376,-0.13210600799873368,135
HILIC_96.96098643_290.5945809,-0.5321583950444032,0.5976781109224734,0.9926487049255592,-0.17732123921056597,136
HILIC_96.96099024_104.6093719,0.23962938801322808,0.8118904414711965,1,0.06915291152908969,137
HILIC_97.02846259_63.43590937,0.804077141765574,0.42629599560565123,0.9732405036444339,0.2494495653281148,138
HILIC_97.03968749_94.14561617,0.9697404112377952,0.3382367772296446,0.9541737438762358,0.22374131398006972,139
HILIC_97.03970055_163.6304677,-0.35989835979158186,0.7208924842901554,1,-0.09196509873917073,140
HILIC_97.03970679_290.2586911,0.9930588104938083,0.3268899265263048,0.9506069103298993,0.33164347047636056,141
HILIC_97.04775017_287.1402126,0.5669903111222464,0.5740161540907985,0.9913379189285378,0.21775177780833022,142
HILIC_97.06485236_163.0285505,0.349463463416029,0.7286481937409288,1,0.12476519813561764,143
HILIC_97.07608559_170.8608285,0.21601824818066545,0.8301154508633177,1,0.07457087849752334,144
HILIC_97.07609276_74.33076214,-0.5057073900555832,0.6159491002320843,0.9932827309224024,-0.21785269454906028,145
HILIC_97.10123931_22.28581663,1.1629343274925579,0.2520230075306571,0.9054022050039036,0.26121068647625484,146
HILIC_97.10129888_288.167834,0.029893313168144555,0.9763067667577742,1,0.009389139509182453,147
HILIC_97.53373188_219.1342954,0.8144727446669288,0.4203901726897866,0.9716822081080376,0.4208754215948804,148
HILIC_97.98919663_237.7273891,-1.8876386868957065,0.06663899436668447,0.6468300924586318,-1.0372837403724777,149
HILIC_98.00176807_123.3700829,-1.4509745265044063,0.15489708934975552,0.8124985888763471,-1.0105175985017374,150
HILIC_98.01361244_281.1273285,-0.5219497476317211,0.6046993979559008,0.9928201179984223,-0.06658446483462525,151
HILIC_98.01363092_70.58617975,-1.716223640756572,0.09416897021876522,0.7121317722762723,-0.7191569550196916,152
HILIC_98.0236956_75.54460817,-0.21956865592321467,0.8273686124110107,1,-0.11144058631096632,153
HILIC_98.02575733_182.1130742,0.4290725109075891,0.6702650735857331,0.9996367449012522,0.367423221295408,154
HILIC_98.06008303_178.1258925,-0.3549491810890347,0.7245672879826841,1,-0.1329338289267371,155
HILIC_98.06815562_288.5114588,1.7462248529987925,0.08875785319945861,0.6991326024755875,0.943380015271973,156
HILIC_98.09645043_273.6405819,1.7534049659260964,0.08750215529351227,0.6965941799907964,0.5584811941185587,157
HILIC_98.09648549_124.1422019,0.5969621884484354,0.5540317738207292,0.9865181901455302,0.24969553624908797,158
HILIC_98.09649188_48.37430132,0.7216809852510414,0.47485665640590213,0.9781047779839798,0.25546408876944343,159
HILIC_98.47062059_292.8913911,1.2561082185535417,0.21665559012552355,0.8729569943246921,0.5046174089327015,160
HILIC_98.51204815_288.3568145,-0.5449395714709097,0.5889421714960111,0.9913379189285378,-0.1805827797812458,161
HILIC_98.51528591_176.1853492,0.5173048535414876,0.6079067382687271,0.9928201179984223,0.2855073805566126,162
HILIC_98.91893138_47.0325855,-0.9362912310572291,0.3549670583480269,0.9588670540445742,-0.14964292721929684,163
HILIC_98.96136145_260.1261305,0.3793140971214133,0.7065414632335754,0.9999159889500627,0.07618657947366135,164
HILIC_98.97539012_214.3014805,-0.12318719051948837,0.902600547919217,1,-0.05213063262661576,165
HILIC_98.98422559_105.8917001,1.1061672040082975,0.27552726800531907,0.9227236778686373,0.38293733377840805,166
HILIC_98.98615197_100.5545223,0.5131761536574085,0.6107642435324263,0.9928201179984223,0.712149168626411,167
HILIC_98.98840414_238.9183973,-0.08406961266460712,0.9334372763702858,1,-0.04056574251721308,168
HILIC_98.99852692_123.0100047,0.3676322087269982,0.7151634603978387,1,0.21593973974041253,169
