Time,Identified_Name,Metabolite,Value,p_value,mean_YPGD,mean_NPGD,mean_difference,Legend
12h,N-Hydroxy-L-isoleucine,C20310_HILIC,-1.8553429653123075,0.017392926349879195,22.797269144854056,24.847170124897637,-2.0499009800435815,Down in PGD
12h,L-2-Aminoadipate,C00956_HILIC,-1.5967387356895972,0.015144703937203274,19.438354379320938,20.939474762592603,-1.5011203832716653,Down in PGD
12h,"6-Imino-5-oxocyclohexa-1,3-dienecarboxylate",C04584_HILIC,-1.4469034354914938,0.046255903021166084,19.940591839295408,20.9139803982143,-0.9733885589188915,Down in PGD
12h,Dihydrourocanate,C20522_HILIC,-1.3868861237495953,0.030694061176572612,15.975800793593528,18.03819372533267,-2.06239293173914,Down in PGD
12h,Carboxynorspermidine,C18174_HILIC,-1.330279629151493,0.024941921729833654,16.745903629315094,17.799611622864237,-1.0537079935491427,Down in PGD
12h,3-Oxo-OPC6-CoA,C16334_HILIC,-1.1535095631109895,0.013431301862718447,12.825560698778013,13.763088112530834,-0.9375274137528216,Down in PGD
12h,Tyramine,C00483_C18,-1.014284959386149,0.04127323349207594,14.743380504647664,15.509078528313637,-0.7656980236659727,Down in PGD
12h,5-Methylthio-D-ribose,C03089_HILIC,-0.9173346640583026,0.013490505135499806,16.050566670346736,16.794518121713633,-0.7439514513668968,Down in PGD
12h,1-Pyrroline-4-hydroxy-2-carboxylate,C04282_C18,-0.8419487769386585,0.021071313224476425,19.10483372532857,20.05219754119446,-0.9473638158658879,Down in PGD
12h,Pyrazole,C00481_HILIC,-0.8265098978622916,0.007359470563124118,16.441697155109345,17.261500321418264,-0.8198031663089189,Down in PGD
12h,"1,2,3-Trihydroxybenzene",C01108_HILIC,-0.8015192940267323,0.04654439284632529,16.41926579723919,17.21663332054631,-0.7973675233071198,Down in PGD
12h,Creatine,C00300_C18,-0.7335509726137571,0.024919673517120995,19.18434312502266,20.045816327241926,-0.8614732022192655,Down in PGD
12h,EDTA,C00284_HILIC,0.7164859475976862,0.04402631146688833,14.80814931335156,12.74380847722548,2.06434083612608,Up in PGD
12h,"3-[(1R,2S,5R,6S)-5-Hydroxy-7-oxabicyclo[4.1.0]heptan-2-yl]-2-oxopropanoate",C21087_HILIC,0.7380709466313276,0.013712740160125301,15.403703744038703,14.480137758141119,0.923565985897584,Up in PGD
12h,3-(2-Hydroxyphenyl)propanoate,C01198_C18,0.7387497879849866,0.01645340611041115,17.121540785626824,16.36276026648498,0.758780519141844,Up in PGD
12h,3-Methoxytyramine,C05587_HILIC,0.7569412654253536,5.140451496776486e-4,16.736346768533735,15.892651568636326,0.8436951998974092,Up in PGD
12h,Phosphodimethylethanolamine,C13482_HILIC,0.788133731256338,0.012785788518998219,17.14651413940253,15.916071304660703,1.2304428347418277,Up in PGD
12h,Indole-3-acetaldehyde,C00637_C18,0.805715268708019,0.006001464784526208,18.836203979932932,17.7836213319852,1.0525826479477338,Up in PGD
12h,4-(L-gamma-Glutamylamino)butanoate,C15767_HILIC,0.8519933986135709,0.0016506342017725965,16.30461905288659,15.207010447322993,1.0976086055635967,Up in PGD
12h,O-Carbamoyl-L-serine,C03015_C18,0.8640519908865408,0.022074059033826025,14.3963392907204,13.165350739840404,1.2309885508799958,Up in PGD
12h,2-(alpha-D-Glucosyl)-sn-glycerol 3-phosphate,C10517_HILIC,0.9499830030658248,0.04303552310504818,15.226924791822938,14.151635987052972,1.0752888047699667,Up in PGD
12h,3-O-Methylquercetin,C04443_HILIC,0.9643851829837784,0.021201221087313465,14.920515899402945,14.013660474969392,0.9068554244335534,Up in PGD
12h,Sucrose,C00089_C18,1.0073768088675834,0.02871198351602601,13.56295638117135,12.446182937022272,1.1167734441490786,Up in PGD
12h,Sphinganine 1-phosphate,C01120_C18,1.0454491708200733,0.04381052576818451,14.436913079869802,12.694480682971408,1.7424323968983941,Up in PGD
12h,Aminoimidazole ribotide,C03373_HILIC,1.3061804249238655,0.008442234398730703,14.363925519127841,12.154846511959306,2.209079007168535,Up in PGD
12h,Caffeine,C07481_HILIC,2.050712239541174,0.024550845492596875,21.981902796045436,19.658032224911203,2.3238705711342327,Up in PGD
24h,2-(alpha-Hydroxypropyl)thiamine diphosphate,C21017_HILIC,-2.1755544600765084,0.025342911192182238,15.432547421778384,16.99108561066338,-1.5585381888849952,Down in PGD
24h,"3,4-Dihydroxyphthalate*",C03223_HILIC*,-1.9185948247606903,0.033912463052957614,14.416686003950266,16.5198792011051,-2.103193197154832,Down in PGD
24h,"4,5-Dihydroxyphthalate",C03233_HILIC,-1.9185948247606903,0.033912463052957614,14.416686003950266,16.5198792011051,-2.103193197154832,Down in PGD
24h,Photinus luciferin,C02740_HILIC,-1.6090007887441304,0.012198870031046237,14.721228106185789,16.325894442517757,-1.6046663363319684,Down in PGD
24h,Dibenzothiophene,C20125_HILIC,-1.5964704358403834,0.04445853516599478,14.912184984433502,16.502586493366337,-1.5904015089328354,Down in PGD
24h,L-2-Aminoadipate,C00956_HILIC,-1.2795129413137167,0.032720287030619924,19.877822845450662,21.281141957482866,-1.4033191120322037,Down in PGD
24h,L-Aspartate 4-semialdehyde,C00441_HILIC,-1.1351251271599996,0.04556372971993659,14.58757731218222,15.792756405030378,-1.2051790928481587,Down in PGD
24h,"7,8-Dihydroneopterin 2',3'-cyclic phosphate",C20567_HILIC,-1.095288258556837,0.02559408410985512,17.30276805761953,18.15390460427698,-0.8511365466574503,Down in PGD
24h,Sulfoquinovose*,C20829_HILIC*,-1.0934117694482215,0.0098740044409783,15.662385004258692,16.762271083723952,-1.0998860794652607,Down in PGD
