m.z,p.value,mode,r.t
85.02841798,0.15395905144491132,positive,290.4586431
85.02846539,0.12799977849121058,positive,56.5877659
85.0414635,0.820029320596369,positive,71.26778911
85.04779606,0.6902884287938311,positive,71.95313692
85.10119486,0.8607500395310084,positive,291.8284664
85.51560053,0.6510707808813037,positive,246.8553878
85.96310233,0.1562466401537641,positive,203.505821
86.06007085,0.7745070645517889,positive,287.4093516
86.0601188,0.1852691439825822,positive,67.60032266
86.07134649,0.010563430438767599,positive,31.06981639
86.09663859,0.41172296846075673,positive,36.79735597
86.90869577,0.88097080192693,positive,42.67711193
86.95260182,0.1886801734907335,positive,25.39613694
87.02636387,0.3838797019490412,positive,42.70896931
87.04407159,0.4025785846873935,positive,289.5254113
87.04410261,0.0682234833188584,positive,38.700804
87.05531146,0.6502537804051294,positive,75.31729616
87.0641035,0.3872757684335695,positive,25.25585843
87.0917115,0.1846565336277742,positive,292.1118076
87.09985007,0.34572167696370804,positive,37.17141102
88.00425131,0.10700275814998655,positive,284.1698492
88.02318786,0.9967883757967153,positive,251.4833965
88.03933581,0.3913970645298891,positive,286.5493904
88.03935127,0.7560656943619735,positive,80.39524183
88.03938885,0.6859939590764744,positive,185.4880557
88.05789901,0.7259826266699609,positive,64.27036148
88.07574809,0.054442993130718376,positive,83.18402635
88.52081017,0.14685276762860988,positive,222.3868003
88.61739048,0.3196594127681253,positive,81.10970972
88.95268286,0.07471773943106613,positive,252.2971503
89.001987,0.1953886234213066,positive,284.0176711
89.00201042,0.06081658824154242,positive,81.13984198
89.0083215,0.4414748399010534,positive,71.42808776
89.00833293,0.4778251151949847,positive,279.7373193
89.03864944,0.7937927693184934,positive,34.64945445
89.04188835,0.24956674104906013,positive,54.55857461
89.059759,0.8124276811531648,positive,130.7241784
89.05982223,0.17198741687235092,positive,296.0381341
89.07096677,0.18230891928792306,positive,288.26625
89.10736192,0.15804475956873648,positive,274.5428103
89.50682187,0.5221711740604373,positive,281.9276928
89.51002308,0.38167778998090796,positive,192.2789219
89.95081898,0.19812858702841818,positive,282.4417173
89.96249768,0.5123563041887832,positive,225.0080642
90.03723536,0.43126142881155327,positive,290.3656427
90.05502652,0.553639847750891,positive,57.64460634
90.09138826,0.07051909046767761,positive,283.2392524
90.50698229,0.23949690917595104,positive,257.3794829
90.5273569,0.03675586643398548,positive,255.510963
90.97669008,0.7616182109510197,positive,56.16844276
91.00589404,0.3833879315854387,positive,283.2412351
91.00865137,0.0810233803439081,positive,281.5012103
91.00866596,0.5564309037938956,positive,81.45515544
91.01795313,0.9283371309755034,positive,194.9575463
91.02903867,0.1425008447968947,positive,270.4874102
91.03979443,0.23031519848728632,positive,42.58728616
91.05430844,0.2587765061764125,positive,39.49641254
91.50469881,0.855153796874923,positive,274.0240948
91.52206465,0.22636511174795332,positive,196.2333935
91.52521365,0.2843110145926209,positive,216.803652
91.52857066,0.3876848068624913,positive,203.377437
91.98005305,0.32805714399391495,positive,59.24161099
92.00482047,0.31077575494631926,positive,280.1555784
92.00636441,0.6760380777519399,positive,282.3773474
92.02157614,0.3915285956829694,positive,188.9048091
92.0240254,0.1950282655323212,positive,201.4034171
92.02569931,0.02865601537815121,positive,217.6720968
92.0369682,0.7677701415530703,positive,125.5009436
92.05761655,0.9716316926675819,positive,290.2283105
92.50348013,0.33376526615865043,positive,284.0719607
92.503492,0.04955631624672739,positive,80.48193747
92.94814353,0.09389908332914543,positive,284.9895186
93.01997413,0.21081262862538225,positive,217.7475323
93.0240484,0.5197734884065921,positive,203.0219762
93.04480659,0.7060498638621514,positive,99.74035108
93.06994024,0.2995356888605791,positive,59.20747924
93.06994572,0.17812977709642838,positive,134.0334726
93.50377753,0.4956503712720717,positive,275.5340212
93.98409529,0.29688863524507536,positive,279.4198637
94.02880157,0.39537715641230253,positive,39.22809772
94.0451383,0.921729058809831,positive,123.2344593
94.06518108,0.6600783214662784,positive,125.0537174
94.07324692,0.9214168926701016,positive,290.7029809
94.5023231,0.1381099750721105,positive,274.5414159
94.52084594,0.09952102236093477,positive,220.0657357
94.543682,0.07508334823318463,positive,151.0944294
94.54642742,0.7323976581090477,positive,251.5590928
94.94357368,0.38686264334250087,positive,283.2714483
95.01280726,0.14013410457265502,positive,71.5910938
95.02402448,0.752631782183155,positive,270.0370196
95.04387206,0.08274473727667497,positive,240.8349018
95.04389743,0.4845514648525875,positive,127.814977
95.04721541,0.3787658250186101,positive,147.7880064
95.04905656,0.7393383763333627,positive,276.6921965
95.04921145,0.15573466460238136,positive,145.0280525
95.06043216,0.8958364681014628,positive,100.9513343
95.06854325,0.7170181077082527,positive,38.04931808
95.08560012,0.042364374711458944,positive,30.83855528
95.50172477,0.4033343712787304,positive,273.7309703
95.54560673,0.24592720002780671,positive,123.8812145
95.96404634,0.73605372137952,positive,278.394581
96.04443233,0.06257440381615317,positive,293.0843421
96.04445963,0.5806744369666098,positive,155.8886054
96.05565544,0.4979114686876771,positive,283.8187459
96.06824022,0.16669948522389877,positive,119.6157906
96.08079825,0.7547020562051038,positive,285.5052228
96.0808262,0.4702530294427122,positive,35.31049728
96.08891983,0.537630931324202,positive,289.9822178
96.08894104,0.07629215476742311,positive,29.14321708
96.92181876,0.9604062222816803,positive,47.53810749
96.96098643,0.09334951858268524,positive,290.5945809
96.96099024,0.4939055500042674,positive,104.6093719
97.02846259,0.33484294704909856,positive,63.43590937
97.03968749,3.1962810331625125e-4,positive,94.14561617
97.03970055,0.7963010002015268,positive,163.6304677
97.03970679,0.6546753763662487,positive,290.2586911
97.04775017,0.2524194385731662,positive,287.1402126
97.06485236,0.9067337107446053,positive,163.0285505
97.07608559,0.24495443691435556,positive,170.8608285
97.07609276,0.13577780991554256,positive,74.33076214
97.10123931,0.6030436618237434,positive,22.28581663
97.10129888,0.28506911786195865,positive,288.167834
97.53373188,0.11301803933263833,positive,219.1342954
97.98919663,0.22350874054340955,positive,237.7273891
98.01361244,0.8439822316794094,positive,281.1273285
98.01363092,0.137726317253086,positive,70.58617975
98.0236956,0.9916144600299623,positive,75.54460817
98.06008303,0.4316163283430702,positive,178.1258925
98.06815562,0.044769397536505794,positive,288.5114588
98.09645043,0.2562157755143817,positive,273.6405819
