m.z,p.value,mode,r.t
85.02841798,0.25830607276721795,positive,290.4586431
85.02846539,0.025957491634674233,positive,56.5877659
85.0414635,0.9617046554073312,positive,71.26778911
85.04779606,0.4011707058928917,positive,71.95313692
85.10119486,0.05620773502376326,positive,291.8284664
85.51560053,0.35836860865499487,positive,246.8553878
85.96310233,0.4572361841475048,positive,203.505821
86.06007085,0.1736758810091162,positive,287.4093516
86.0601188,0.07579113950137778,positive,67.60032266
86.07134649,2.0740986043852217e-4,positive,31.06981639
86.09663859,0.9589562385414243,positive,36.79735597
86.90869577,0.49285804185488513,positive,42.67711193
86.95260182,0.5391818326238732,positive,25.39613694
87.02636387,0.8995663411123078,positive,42.70896931
87.04407159,0.03463280812411578,positive,289.5254113
87.04410261,0.18756130641638444,positive,38.700804
87.05531146,0.3001212394974643,positive,75.31729616
87.0641035,0.8290254632932881,positive,25.25585843
87.0917115,0.5394436502161564,positive,292.1118076
87.09985007,0.9332796653744053,positive,37.17141102
88.00425131,0.06887138634854918,positive,284.1698492
88.02318786,0.4820006996157258,positive,251.4833965
88.03933581,0.19741996647825422,positive,286.5493904
88.03935127,0.5725514423436554,positive,80.39524183
88.03938885,0.7905852767092072,positive,185.4880557
88.05789901,0.7480585943528835,positive,64.27036148
88.07574809,0.06575350622436076,positive,83.18402635
88.52081017,0.01969840635225487,positive,222.3868003
88.61739048,0.5383180621285153,positive,81.10970972
88.95268286,0.8736129699221287,positive,252.2971503
89.001987,0.19102710300491646,positive,284.0176711
89.00201042,0.06245707258405891,positive,81.13984198
89.0083215,0.7078855697605384,positive,71.42808776
89.00833293,0.5661785742161316,positive,279.7373193
89.03864944,0.7207211511730192,positive,34.64945445
89.04188835,0.10132368223920747,positive,54.55857461
89.059759,0.8134151981902221,positive,130.7241784
89.05982223,0.1228751129493824,positive,296.0381341
89.07096677,0.04995445325808551,positive,288.26625
89.10736192,0.03862412046667095,positive,274.5428103
89.50682187,0.03895626615560887,positive,281.9276928
89.51002308,0.49126067796528916,positive,192.2789219
89.95081898,0.1985658689016232,positive,282.4417173
89.96249768,0.1477613297577576,positive,225.0080642
90.03723536,0.14701581756601387,positive,290.3656427
90.05502652,0.42327863588452996,positive,57.64460634
90.09138826,0.02826087666484069,positive,283.2392524
90.50698229,0.13268214884932636,positive,257.3794829
90.5273569,0.01643190571150334,positive,255.510963
90.97669008,0.5024731873102926,positive,56.16844276
91.00589404,0.5925622815350586,positive,283.2412351
91.00865137,0.04848470046733394,positive,281.5012103
91.00866596,0.1337972949613925,positive,81.45515544
91.01795313,0.662494264932063,positive,194.9575463
91.02903867,0.17993361108475117,positive,270.4874102
91.03979443,0.23509324112691696,positive,42.58728616
91.05430844,0.1273407282416316,positive,39.49641254
91.50469881,0.9311625392755993,positive,274.0240948
91.52206465,0.14820354766144025,positive,196.2333935
91.52521365,0.1664587889814976,positive,216.803652
91.52857066,0.6030923396301475,positive,203.377437
91.98005305,0.1792561104309595,positive,59.24161099
92.00482047,0.7168925531413566,positive,280.1555784
92.00636441,0.43098189562834044,positive,282.3773474
92.02157614,0.8467131026040912,positive,188.9048091
92.0240254,0.37013416333613836,positive,201.4034171
92.02569931,0.11042221498641563,positive,217.6720968
92.0369682,0.9499986369998383,positive,125.5009436
92.05761655,0.5809825947523406,positive,290.2283105
92.50348013,0.31323871201414105,positive,284.0719607
92.503492,0.11461847198435274,positive,80.48193747
92.94814353,0.07168048618742363,positive,284.9895186
93.01997413,0.0839762209836483,positive,217.7475323
93.0240484,0.6990251790921019,positive,203.0219762
93.04480659,0.37057998845591533,positive,99.74035108
93.06994024,0.17840574559340341,positive,59.20747924
93.06994572,0.1880079837136525,positive,134.0334726
93.50377753,0.5809921161798697,positive,275.5340212
93.98409529,0.029706433327514773,positive,279.4198637
94.02880157,0.21607559812453075,positive,39.22809772
94.0451383,0.22302318968461177,positive,123.2344593
94.06518108,0.7343036861500936,positive,125.0537174
94.07324692,0.08793244708314785,positive,290.7029809
94.5023231,0.05069972447004227,positive,274.5414159
94.52084594,0.18467923726110763,positive,220.0657357
94.543682,0.09741753205583525,positive,151.0944294
94.54642742,0.6205176425150063,positive,251.5590928
94.94357368,0.18748478218824685,positive,283.2714483
95.01280726,0.032637302607626546,positive,71.5910938
95.02402448,0.7604224463508128,positive,270.0370196
95.04387206,0.1471739129779769,positive,240.8349018
95.04389743,0.07893298973640868,positive,127.814977
95.04721541,0.9239512717423026,positive,147.7880064
95.04905656,0.23634289376122897,positive,276.6921965
95.04921145,0.20695217557821827,positive,145.0280525
95.06043216,0.7307009084032339,positive,100.9513343
95.06854325,0.18812534731146732,positive,38.04931808
95.08560012,0.0563560268263266,positive,30.83855528
