"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Glycerophospholipid metabolism","156","34","17","11.947","0.018114","0.035522","0.0031259","0","0","1","1","0.2719533","P1","EC000744;EC000798;EC000528;EC000938;EC0008;EC000771;EC000755;EC000202;EC000958;EC000960;EC000358;EC00040;EC00016;EC000703;EC00032;EC0001067;EC000172;EC000173"
"Glutamate metabolism","15","10","8","5.2027","0.03752","0.089428","0.0033463","21","0.21","1","1","0.2877818","P2","EC0009;EC00019;EC00020;EC0008;EC000244;EC00023;EC000705;EC000394;EC00083"
"Purine metabolism","80","38","17","12.91","0.039065","0.069611","0.0033645","47","0.47","1","1","0.2877818","P3","EC0009;EC000170;EC000499;EC00089;EC000353;EC000756;EC000352;EC000104;EC000581;EC000214;EC000695;EC000399;EC000264;EC0008;EC00029;EC00045;EC00046;EC00048"
"Butanoate metabolism","34","20","13","9.4419","0.040436","0.078385","0.0033808","59","0.59","1","1","0.2877818","P4","EC0009;EC0008;EC00083;EC000832;EC000684;EC000485;EC000486;EC000487;EC000929;EC000930;EC000244;EC00023;EC000454;EC000455"
"Carnitine shuttle","72","30","14","6.1661","0.044606","0.097685","0.0034308","0","0","1","1","0.2877818","P5","EC0001310;EC0001290;EC0001291;EC0001307;EC0001298;EC0001299;EC0001297;EC0001319;EC0001288;EC0001292"
"Tyrosine metabolism","160","93","37","33.914","0.045483","0.064494","0.0034414","100","1","1","1","0.2877818","P6","EC0001237;EC0001238;EC0001139;EC0001141;EC0009;EC0008;EC000387;EC000389;EC0001065;EC000274;EC000497;EC000493;EC0001275;EC000632;EC0001234;EC000668;EC00057;EC00045;EC00046;EC00048;EC000845;EC000626;EC000836;EC000838;EC000863;EC000864;EC000254;EC000358;EC000559;EC000561;EC000893;EC000851;EC000849;EC000857;EC000861;EC000868;EC00083;EC00019;EC00020;EC0001091"
"Propanoate metabolism","31","9","5","2.505","0.06479","0.18615","0.0036839","0","0","1","1","0.2983959","P7","EC00083;EC000485;EC000486;EC000487;EC0008"
"D4&E4-neuroprostanes formation","37","35","3","2.505","0.06479","0.18615","0.0036839","1","0.01","1","1","0.2983959","P8","EC000499;EC00045;EC00046;EC00048;EC000274"
"Selenoamino acid metabolism","35","7","5","3.2757","0.065586","0.16895","0.0036943","0","0","1","1","0.2983959","P9","EC00040;EC00083;EC000170;EC000510;EC00019;EC00020"
"Porphyrin metabolism","43","11","5","5.01","0.075352","0.16289","0.0038242","0","0","1","1","0.2983959","P10","EC00045;EC00046;EC00048;EC000906;EC000328;EC000274;EC000319;EC000320"
