"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Glutamate metabolism","15","10","9","4.7766","0.002011","0.006983","0.0033265","0","0","0.18099","0.62847","0.299385","P1","EC0009;EC00013;EC00019;EC00021;EC0008;EC00037;EC00038;EC00022;EC000705;EC000394;EC00080"
"Tyrosine metabolism","160","93","39","31.136","0.011499","0.01787","0.0034362","100","1","1","1","0.3058218","P2","EC00013;EC0001238;EC0001139;EC0009;EC0008;EC000438;EC000387;EC0001065;EC000493;EC0001001;EC0001275;EC0001234;EC00047;EC000728;EC000729;EC000845;EC000947;EC000626;EC000627;EC000317;EC000143;EC00037;EC00038;EC000836;EC000863;EC000254;EC000255;EC000559;EC000560;EC000561;EC000893;EC000895;EC000854;EC000857;EC000861;EC000868;EC00080;EC00019;EC00021;EC0001091"
"De novo fatty acid biosynthesis","106","19","11","7.6071","0.015614","0.035709","0.0034849","0","0","1","1","0.3066712","P3","EC000589;EC000553;EC000556;EC000405;EC000958;EC000189;EC0001128;EC000651;EC000652;EC000172;EC000173;EC000562;EC000564"
"Histidine metabolism","33","18","10","8.4917","0.017003","0.037075","0.0035015","96","0.96","1","1","0.3066712","P4","EC0009;EC00013;EC000712;EC000714;EC000423;EC000425;EC00019;EC00021;EC000910;EC000107;EC000147;EC000908;EC000909;EC0008"
"3-Chloroacrylic acid degradation","6","4","4","0.35382","0.026699","0.29945","0.0036199","0","0","1","1","0.3113114","P5","EC000969;EC000970"
"Limonene and pinene degradation","10","6","4","1.5922","0.044718","0.16901","0.0038512","96","0.96","1","1","0.327352","P6","EC000482;EC000483;EC000638;EC000639"
"Fatty Acid Metabolism","63","14","5","4.7766","0.060064","0.13559","0.0040604","0","0","1","1","0.3410736","P7","EC000651;EC000652;EC000589;EC000189;EC000562;EC000564;EC000553;EC000556"
"Glycerophospholipid metabolism","156","34","13","10.968","0.067842","0.11787","0.0041711","0","0","1","1","0.3462013","P8","EC000937;EC000938;EC0008;EC000890;EC000202;EC000663;EC000958;EC000155;EC000965;EC000562;EC000564;EC00032;EC0001067;EC000172;EC000173"
"Glyoxylate and Dicarboxylate Metabolism","12","4","3","1.2384","0.091135","0.31973","0.0045217","89","0.89","1","1","0.3707794","P9","EC000202;EC00089;EC000144"
"Fatty acid oxidation","35","6","3","1.2384","0.091135","0.31973","0.0045217","0","0","1","1","0.3707794","P10","EC0001309;EC0001128;EC000268"
"Beta-Alanine metabolism","20","10","6","4.4228","0.099333","0.2106","0.0046525","100","1","1","1","0.3722","P11","EC0009;EC00019;EC00021;EC000107;EC00013;EC000155;EC0008"
"Alanine and Aspartate Metabolism","30","18","8","7.0764","0.10383","0.19077","0.0047258","100","1","1","1","0.3733382","P12","EC0009;EC00013;EC0008;EC000464;EC000465;EC000468;EC00037;EC00038;EC00019;EC00021"
"Glutathione Metabolism","19","7","4","2.8306","0.1055","0.25614","0.0047535","73","0.73","1","1","0.3733382","P13","EC000591;EC0009;EC00019;EC00021;EC000394"
"Fatty acid activation","74","25","10","8.1379","0.11678","0.20333","0.0049442","0","0","1","1","0.3807034","P14","EC000405;EC0001220;EC0001128;EC000958;EC000189;EC000562;EC000564;EC000553;EC000556;EC0001202;EC0001309"
"Electron transport chain","7","1","1","0.17691","0.16372","1","0.0058296","0","0","1","1","0.4430496","P15","EC000268"
"Ubiquinone Biosynthesis","10","7","3","2.4767","0.18398","0.40551","0.0062626","51","0.51","1","1","0.469695","P16","EC000268;EC000135;EC000136;EC000143"
"Phytanic acid peroxisomal oxidation","34","14","6","3.3613","0.18731","0.37559","0.006337","0","0","1","1","0.469695","P17","EC00013;EC000984;EC0001220;EC00022;EC0001128"
"Polyunsaturated fatty acid biosynthesis","21","2","1","0.88455","0.19033","0.5897","0.0064051","0","0","1","1","0.469695","P18","EC000553;EC000556"
"Carnitine shuttle","72","30","10","5.6611","0.26038","0.42477","0.0082313","0","0","1","1","0.5926536","P19","EC0001309;EC0001291;EC0001128;EC0001305;EC0001299;EC0001297;EC0001319"
"Vitamin B6 (pyridoxine) metabolism","11","5","2","1.946","0.26339","0.55688","0.0083215","100","1","1","1","0.5926536","P20","EC000190;EC000191;EC000445"
"Butanoate metabolism","34","20","10","8.6686","0.27149","0.4042","0.0085693","100","1","1","1","0.599851","P21","EC0009;EC00013;EC0008;EC00080;EC000683;EC000684;EC000660;EC00022;EC000452;EC000455"
"Pentose phosphate pathway","37","27","9","5.838","0.28797","0.45612","0.009098","2","0.02","1","1","0.627762","P22","EC00089;EC000605;EC000200;EC000167;EC0001025;EC000250;EC000399"
"Selenoamino acid metabolism","35","7","3","3.0075","0.29858","0.54099","0.0094572","0","0","1","1","0.6430896","P23","EC00080;EC000170;EC00019;EC00021"
"Pyrimidine metabolism","70","35","14","12.914","0.29876","0.40966","0.0094632","22","0.22","1","1","0.6430896","P24","EC00072;EC0008;EC00037;EC00038;EC000268;EC0009;EC00032;EC00019;EC00021;EC00080;EC000147;EC000216;EC000284;EC000399"
"Glycosphingolipid biosynthesis - lactoseries","14","1","1","0.35382","0.30074","1","0.0095321","0","0","1","1","0.6430896","P25","EC00032"
"Blood Group Biosynthesis","44","1","1","0.35382","0.30074","1","0.0095321","0","0","1","1","0.6430896","P26","EC00032"
"Glycosphingolipid biosynthesis - neolactoseries","16","1","1","0.35382","0.30074","1","0.0095321","0","0","1","1","0.6430896","P27","EC00032"
"O-Glycan biosynthesis","16","1","1","0.35382","0.30074","1","0.0095321","0","0","1","1","0.6430896","P28","EC00032"
"Di-unsaturated fatty acid beta-oxidation","26","7","2","2.1229","0.31185","0.60643","0.009928","0","0","1","1","0.6430896","P29","EC0001125;EC000562;EC000564"
"Aminosugars metabolism","69","21","6","6.015","0.31622","0.48707","0.010088","1","0.01","1","1","0.6430896","P30","EC0009;EC0008;EC00037;EC00038;EC000965;EC00032;EC000250"
"Pyruvate Metabolism","20","5","3","1.2384","0.3219","0.713","0.010301","99","0.99","1","1","0.6430896","P31","EC000155;EC0008"
"Prostaglandin formation from arachidonate","78","42","9","6.1919","0.34494","0.51745","0.011216","0","0","1","1","0.661744","P32","EC0001033;EC0001131;EC0001206;EC000499;EC000172;EC000173;EC00047"
"Vitamin D3 (cholecalciferol) metabolism","16","13","3","2.2998","0.36053","0.65168","0.011886","0","0","1","1","0.689388","P33","EC000558;EC0001217;EC0001174"
"Propanoate metabolism","31","9","5","2.2998","0.36053","0.65168","0.011886","0","0","1","1","0.689388","P34","EC00080;EC000155;EC0008"
"Vitamin E metabolism","54","10","3","2.2998","0.36053","0.65168","0.011886","0","0","1","1","0.689388","P35","EC0001244;EC0001254;EC0001144"
"Nitrogen metabolism","6","4","2","2.2998","0.36053","0.65168","0.011886","100","1","1","1","0.689388","P36","EC0009;EC00037;EC00038"
"Putative anti-Inflammatory metabolites formation from EPA","27","10","3","1.4153","0.38627","0.76002","0.013088","0","0","1","1","0.706752","P37","EC0009;EC0001282"
"Fatty acid oxidation, peroxisome","28","3","2","1.4153","0.38627","0.76002","0.013088","85","0.85","1","1","0.706752","P38","EC00013;EC00022"
"Vitamin B3 (nicotinate and nicotinamide) metabolism","28","17","5","5.4842","0.39782","0.58693","0.013671","100","1","1","1","0.710892","P39","EC0009;EC00037;EC00038;EC000917;EC000133;EC000134"
"Keratan sulfate biosynthesis","66","2","1","0.53073","0.4154","1","0.014613","0","0","1","1","0.745263","P40","EC00032"
"Purine metabolism","80","38","12","11.853","0.4157","0.54282","0.014629","100","1","1","1","0.745263","P41","EC0009;EC000170;EC000499;EC00089;EC000756;EC000944;EC000695;EC000399;EC00037;EC00038;EC0008;EC00047"
"Drug metabolism - other enzymes","31","12","3","3.5382","0.41934","0.65706","0.014833","33","0.33","1","1","0.745263","P42","EC0001108;EC0001112;EC000988;EC000991"
"Alkaloid biosynthesis II","10","5","2","1.5922","0.44784","0.79937","0.016545","88","0.88","1","1","0.79416","P43","EC0001026;EC000149"
"Prostaglandin formation from dihomo gama-linoleic acid","11","5","3","1.5922","0.44784","0.79937","0.016545","0","0","1","1","0.79416","P44","EC0001206;EC0001131"
"Omega-6 fatty acid metabolism","55","9","1","1.5922","0.44784","0.79937","0.016545","0","0","1","1","0.79416","P45","EC000172;EC000173"
"Leukotriene metabolism","92","24","5","6.015","0.49202","0.67303","0.01965","0","0","1","1","0.88425","P46","EC0001206;EC000172;EC000173;EC0009;EC0001131;EC0001230"
"Fructose and mannose metabolism","33","21","3","2.8306","0.50107","0.76283","0.020364","70","0.7","1","1","0.896016","P47","EC000155;EC000435;EC000674"
"C5-Branched dibasic acid metabolism","10","3","1","0.70764","0.51133","1","0.021209","100","1","1","1","0.911987","P48","EC0008"
"Glycosphingolipid biosynthesis - globoseries","16","2","1","0.70764","0.51133","1","0.021209","0","0","1","1","0.911987","P49","EC00032"
"Xenobiotics metabolism","110","35","10","8.3148","0.51423","0.66686","0.021454","99","0.99","1","1","0.911987","P50","EC000645;EC0001058;EC0001056;EC000189;EC0001052;EC000384;EC000651;EC000652"
"Ascorbate (Vitamin C) and Aldarate Metabolism","29","16","7","6.3688","0.55215","0.72345","0.024985","98","0.98","1","1","0.9994","P51","EC000200;EC000167;EC000499;EC000610;EC00047;EC000139"
"Urea cycle/amino group metabolism","85","40","10","16.63","0.59129","0.69357","0.029347","100","1","1","1","1","P52","EC0009;EC000559;EC000560;EC000561;EC000705;EC000290;EC000317;EC000373;EC00019;EC00021;EC000626;EC000627;EC00013;EC000535;EC000536"
"Drug metabolism - cytochrome P450","53","21","6","6.7226","0.60888","0.76809","0.03159","8","0.08","1","1","1","P53","EC0001085;EC0001095;EC0001096;EC000979;EC0001091;EC000788"
"Mono-unsaturated fatty acid beta-oxidation","19","10","2","2.1229","0.60922","0.88286","0.031636","0","0","1","1","1","P54","EC0001125;EC0001128"
"Arachidonic acid metabolism","95","50","4","5.6611","0.62147","0.79219","0.033318","0","0","1","1","1","P55","EC0009;EC000958;EC0001206;EC000172;EC000173"
"Glycine, serine, alanine and threonine metabolism","88","36","14","13.622","0.62658","0.7364","0.034051","100","1","1","1","1","P56","EC0009;EC00013;EC0008;EC000687;EC0001152;EC000155;EC000202;EC000299;EC000144;EC00080;EC00019;EC00021"
"Arginine and Proline Metabolism","45","30","9","10.261","0.62847","0.75498","0.034328","100","1","1","1","1","P57","EC0009;EC00013;EC0008;EC000705;EC000707;EC000591;EC00022;EC00037;EC00038"
"Glycolysis and Gluconeogenesis","49","26","3","4.5997","0.63781","0.82255","0.03573","99","0.99","1","1","1","P58","EC000452;EC000455;EC0008;EC000155"
"Aspartate and asparagine metabolism","114","57","19","17.16","0.64435","0.7399","0.036754","100","1","1","1","1","P59","EC0009;EC00013;EC000290;EC00080;EC000914;EC000496;EC000591;EC0001147;EC0001146;EC000465;EC000468;EC00037;EC00038;EC000394;EC000699"
"D4&E4-neuroprostanes formation","37","35","2","2.2998","0.65444","0.90213","0.038402","93","0.93","1","1","1","P60","EC000499;EC00047"
"Bile acid biosynthesis","82","48","16","7.0764","0.66148","0.80709","0.039604","0","0","1","1","1","P61","EC000806;EC000782;EC000595;EC000810;EC000558;EC000635"
"Valine, leucine and isoleucine degradation","65","23","10","8.3148","0.67205","0.80462","0.041495","100","1","1","1","1","P62","EC0009;EC00013;EC00080;EC00098;EC00022;EC0001212;EC0001213"
"Vitamin B1 (thiamin) metabolism","20","5","2","2.4767","0.6954","0.91824","0.046074","100","1","1","1","1","P63","EC0008;EC00013"
"Pentose and Glucuronate Interconversions","15","11","5","2.4767","0.6954","0.91824","0.046074","99","0.99","1","1","1","P64","EC00089;EC000200"
"Tryptophan metabolism","94","51","13","19.991","0.69634","0.77833","0.046269","100","1","1","1","1","P65","EC0009;EC00013;EC0001065;EC000893;EC000895;EC000654;EC000896;EC000899;EC000391;EC000882;EC0001139;EC000377;EC000378;EC000885;EC000384;EC00019;EC00021"
"Biopterin metabolism","22","4","1","1.2384","0.71484","1","0.050365","100","1","1","1","1","P66","EC0001065"
"Caffeine metabolism","11","7","1","1.2384","0.71484","1","0.050365","69","0.69","1","1","1","P67","EC000605"
"TCA cycle","31","14","5","5.1304","0.72487","0.87611","0.052771","96","0.96","1","1","1","P68","EC00013;EC000268;EC000139;EC00022"
"Omega-3 fatty acid metabolism","39","9","2","2.6537","0.73228","0.93171","0.054644","0","0","1","1","1","P69","EC000958;EC0001202"
"Galactose metabolism","41","29","6","5.3073","0.75019","0.8905","0.059525","0","0","1","1","1","P70","EC000326;EC000155;EC000167;EC000435"
"Linoleate metabolism","46","31","7","10.261","0.75992","0.8604","0.062408","46","0.46","1","1","1","P71","EC000499;EC0001149;EC0001151;EC0001185;EC00047;EC000958;EC000562;EC000564"
"Squalene and cholesterol biosynthesis","55","17","3","2.8306","0.76531","0.94296","0.064086","0","0","1","1","1","P72","EC000780;EC00080"
"Saturated fatty acids beta-oxidation","36","11","2","2.8306","0.76531","0.94296","0.064086","0","0","1","1","1","P73","EC000589;EC000189"
"Hexose phosphorylation","20","17","3","4.2458","0.77976","0.92251","0.068876","54","0.54","1","1","1","P74","EC000143;EC000435;EC000250"
"Glycosphingolipid metabolism","67","19","3","5.6611","0.79546","0.91489","0.074629","0","0","1","1","1","P75","EC000189;EC00032;EC000937;EC000938"
"Glycosphingolipid biosynthesis - ganglioseries","62","8","1","1.5922","0.80102","1","0.076823","0","0","1","1","1","P76","EC00032"
"N-Glycan biosynthesis","48","6","1","1.7691","0.83383","1","0.091719","0","0","1","1","1","P77","EC00032"
"Chondroitin sulfate degradation","37","5","1","1.7691","0.83383","1","0.091719","100","1","1","1","1","P78","EC00089"
"Carbon fixation","10","7","1","1.946","0.86124","1","0.1075","100","1","1","1","1","P79","EC0008"
"Androgen and estrogen biosynthesis and metabolism","95","33","9","3.5382","0.86444","0.9723","0.10959","0","0","1","1","1","P80","EC000338;EC000795"
"Phosphatidylinositol phosphate metabolism","59","27","4","5.1304","0.87828","0.96326","0.1194","0","0","1","1","1","P81","EC00032;EC000533;EC000189"
"Heparan sulfate degradation","34","6","1","2.1229","0.88415","1","0.12398","100","1","1","1","1","P82","EC00089"
"Starch and Sucrose Metabolism","33","12","3","2.2998","0.9033","1","0.14101","0","0","1","1","1","P83","EC000326"
"Sialic acid metabolism","107","23","3","6.015","0.93568","0.98302","0.18068","0","0","1","1","1","P84","EC000663;EC000167;EC00032"
"Porphyrin metabolism","43","11","2","4.5997","0.94342","0.99067","0.19334","99","0.99","1","1","1","P85","EC00047;EC000328"
"Methionine and cysteine metabolism","94","35","7","10.615","0.94651","0.97838","0.19888","100","1","1","1","1","P86","EC0009;EC00013;EC0008;EC000522;EC00080;EC000170"
"Vitamin B9 (folate) metabolism","33","9","1","3.1844","0.9609","1","0.22982","70","0.7","1","1","1","P87","EC0009"
"Vitamin A (retinol) metabolism","67","15","1","3.1844","0.9609","1","0.22982","0","0","1","1","1","P88","EC0001239"
"Lysine metabolism","52","22","4","8.4917","0.96797","0.99058","0.24938","100","1","1","1","1","P89","EC0009;EC00013;EC000476;EC00022"
"C21-steroid hormone biosynthesis and metabolism","112","49","7","6.7226","0.99125","0.99896","0.36955","0","0","1","1","1","P90","EC000806;EC000338"
