"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"De novo fatty acid biosynthesis","106","19","13","7.25","1.0563e-06","4.8666e-06","0.0031632","0","0","8.97855e-05","0.000413661","0.268872","P1","EC000556;EC000404;EC000405;EC000407;EC000408;EC000958;EC000960;EC000572;EC000957;EC000186;EC000189;EC000962;EC0001000;EC000651;EC000652;EC000689;EC000173;EC000174;EC000563;EC000564"
"Linoleate metabolism","46","31","21","9.7791","0.00022201","0.00063667","0.0031656","0","0","0.01864884","0.05348028","0.268872","P2","EC0001162;EC000744;EC0001276;EC0001151;EC000763;EC000764;EC0001185;EC00048;EC0001047;EC0001048;EC0001049;EC0001040;EC0001041;EC0001042;EC0001155;EC000774;EC000958;EC000960;EC000563;EC000564"
"Carnitine shuttle","72","30","17","5.3953","0.001896","0.0061451","0.0031839","0","0","0.157368","0.5100433","0.268872","P3","EC0001290;EC0001315;EC0001285;EC0001291;EC000676;EC0001298;EC0001299;EC0001297;EC0001286;EC0001319;EC0001320;EC0001292"
"Fatty Acid Metabolism","63","14","7","4.5523","0.0050638","0.016105","0.0032188","0","0","0.4152316","1","0.268872","P4","EC000572;EC000651;EC000652;EC000957;EC000186;EC000189;EC000563;EC000564;EC000556;EC0001289"
"Glycerophospholipid metabolism","156","34","15","10.453","0.010458","0.022107","0.0032791","0","0","0.847098","1","0.268872","P5","EC000744;EC000798;EC000937;EC000938;EC0008;EC000890;EC000202;EC000958;EC000960;EC000358;EC00041;EC00016;EC000155;EC000563;EC000564;EC000173;EC000174"
"Fatty acid activation","74","25","10","7.7558","0.043136","0.086765","0.003671","0","0","1","1","0.29368","P6","EC000572;EC000405;EC000408;EC000958;EC000960;EC000957;EC000186;EC000189;EC000563;EC000564;EC000556;EC000689"
"Omega-3 fatty acid metabolism","39","9","4","2.5291","0.069998","0.19285","0.0040301","0","0","1","1","0.3183779","P7","EC0001072;EC0001073;EC000774;EC000958;EC000960"
"Nitrogen metabolism","6","4","3","2.1919","0.13084","0.32792","0.0049876","100","1","1","1","0.3890328","P8","EC000130;EC000131;EC00037;EC00028"
"Tryptophan metabolism","94","51","20","19.052","0.14731","0.20821","0.0052864","100","1","1","1","0.4070528","P9","EC00015;EC000234;EC000891;EC000893;EC000895;EC000655;EC000897;EC000898;EC000899;EC000900;EC00055;EC000740;EC000380;EC0001200;EC000231;EC00016;EC000735;EC000878;EC000874;EC000472;EC000473;EC000382"
"Prostaglandin formation from dihomo gama-linoleic acid","11","5","3","1.5174","0.15335","0.41899","0.0054007","0","0","1","1","0.4104532","P10","EC000386;EC0001181;EC0001130"
"Prostaglandin formation from arachidonate","78","42","12","5.9012","0.16611","0.29383","0.0056508","0","0","1","1","0.42381","P11","EC000480;EC0001033;EC0001130;EC000386;EC000173;EC000174;EC000928;EC00048"
"Arachidonic acid metabolism","95","50","19","5.3953","0.22122","0.37715","0.0068818","0","0","1","1","0.5092532","P12","EC000480;EC000386;EC0001181;EC000958;EC000960;EC000173;EC000174"
"Glycosphingolipid metabolism","67","19","8","5.3953","0.22122","0.37715","0.0068818","0","0","1","1","0.5092532","P13","EC000358;EC00016;EC000186;EC000189;EC000937;EC000938;EC00041"
"Bile acid biosynthesis","82","48","15","6.7442","0.27773","0.43023","0.0084477","0","0","1","1","0.6082344","P14","EC000806;EC000595;EC000810;EC000811;EC000558;EC000634;EC000635;EC000641"
"Alanine and Aspartate Metabolism","30","18","7","6.7442","0.27773","0.43023","0.0084477","100","1","1","1","0.6082344","P15","EC00015;EC0008;EC00035;EC00036;EC00037;EC000130;EC000131;EC00028"
"3-Chloroacrylic acid degradation","6","4","2","0.33721","0.28782","1","0.0087656","67","0.67","1","1","0.613592","P16","EC000970"
